study,treatment,responders,sampleSize,rob,ind,phase,category
Harrison SA 2021a,Aldafermin,19,50,1,1,2,FGF19 analog
Harrison SA 2021a,Placebo,4,22,1,1,2,Placebo
Harrison SA 2022,Aldafermin,27,107,1,1,2,FGF19 analog
Harrison SA 2022,Placebo,7,36,1,1,2,Placebo
Harrison SA 2021b,Efruxifermin,18,40,3,1,2,FGF21 analog
Harrison SA 2021b,Placebo,0,2,3,1,2,Placebo
Harrison SA 2023a,Efruxifermin,29,85,1,1,1,FGF21 analog
Harrison SA 2023a,Placebo,8,43,1,1,1,Placebo
Loomba R 2023a,Pegbelfermin,23,148,2,1,2,FGF21 analog
Loomba R 2023a,Placebo,4,49,2,1,2,Placebo
Loomba R 2023b,Pegozafermin,34,131,1,1,2,FGF21 analog
Loomba R 2023b,Placebo,4,61,1,1,2,Placebo
Sanyal A 2023,Tropifexor,19,73,2,1,2,FXR agonist
Sanyal A 2023,Placebo,9,42,2,1,2,Placebo
Neuschwander-Tetri BA 2015,Obeticholic acid,36,102,1,1,2,FXR agonist
Neuschwander-Tetri BA 2015,Placebo,19,98,1,1,2,Placebo
Younossi ZM; Ratziu V 2019,Obeticholic acid,126,620,2,1,3,FXR agonist
Younossi ZM; Ratziu V 2019,Placebo,37,311,2,1,3,Placebo
Newsome PN 2021,Semaglutide,71,172,1,1,2,Incretins
Newsome PN 2021,Placebo,19,58,1,1,2,Placebo
Francque SM 2021,Lanifibranor,68,166,1,1,2,PPAR agonist
Francque SM 2021,Placebo,23,81,1,1,2,Placebo
Siddiqui MS 2021,Saroglitazar,6,13,3,1,2,PPAR agonist
Siddiqui MS 2021,Placebo,0,3,3,1,2,Placebo
Harrison SA 2020a,MSDC-0602K,68,252,2,1,2,TZDs
Harrison SA 2020a,Placebo,16,74,2,1,2,Placebo
Harrison SA 2023b,PXL065,27,69,2,1,2,TZDs
Harrison SA 2023b,Placebo,4,23,2,1,2,Placebo
Harrison SA 2019,Resmetirom,21,73,1,1,2,THR-beta agonist
Harrison SA 2019,Placebo,8,34,1,1,2,Placebo
Harrison SA 2024a,Resmetirom,159,637,1,1,3,THR-beta agonist
Harrison SA 2024a,Placebo,45,318,1,1,3,Placebo
Bril F 2019,Vitamin E,19,36,1,1,4,Vitamin E
Bril F 2019,Vitamin E + Pioglitazone,19,37,1,1,4,TZDs + Vitamin E
Bril F 2019,Placebo,10,32,1,1,4,Placebo
Loomba R 2023d,Semaglutide,5,47,1,1,2,Incretins
Loomba R 2023d,Placebo,7,24,1,1,2,Placebo
Loomba R 2024a,Tirzepatide,75,142,1,1,2,Incretins
Loomba R 2024a,Placebo,14,48,1,1,2,Placebo
Loomba R 2024b,Denifanstat,34,112,1,1,2,DNL
Loomba R 2024b,Placebo,8,56,1,1,2,Placebo
Noureddin M 2025,Efruxifermin,22,97,1,1,2,FGF21 analog
Noureddin M 2025,Placebo,8,57,1,1,2,Placebo
Abdelmalek MF 2024,Pegbelfermin,31,115,1,1,2,FGF21 analog
Abdelmalek MF 2024,Placebo,12,39,1,1,2,Placebo
Harrison SA 2023d,Efruxifermin,4,12,2,1,2,FGF21 analog
Harrison SA 2023d,Placebo,0,5,2,1,2,Placebo
Rinella ME 2024,Aldafermin,18,97,1,1,2,FGF19 analog
Rinella ME 2024,Placebo,7,56,1,1,2,Placebo
Loomba R 2021b,Cilofexor,4,40,1,1,2,FXR agonist
Loomba R 2021b,Firsocostat,4,40,1,1,2,DNL
Loomba R 2021b,Placebo,4,39,1,1,2,Placebo
Ratziu V 2023b,Obeticholic acid,70,606,1,1,3,FXR agonist
Ratziu V 2023b,Placebo,31,313,1,1,3,Placebo
Harrison SA 2020b,Seladelpar,36,127,1,1,2,PPAR agonist
Harrison SA 2020b,Placebo,5,26,1,1,2,Placebo
Song Y 2025,Vitamin E,15,58,1,1,3,Vitamin E
Song Y 2025,Placebo,10,64,1,1,3,Placebo
Sanyal A 2025,Semaglutide,197,534,1,1,3,Incretins
Sanyal A 2025,Placebo,60,266,1,1,3,Placebo
Sanyal A 2024a,Survodutide,75,219,1,1,2,Incretins
Sanyal A 2024a,Placebo,8,74,1,1,2,Placebo
Lin J 2025,Dapagliflozin,35,78,1,1,3,SGLT2 inhibitor
Lin J 2025,Placebo,15,76,1,1,3,Placebo
