study,treatment,responders,sampleSize,rob,ind,phase,category
Harrison SA 2018,Aldafermin,47,55,1,1,2,FGF19 analog
Harrison SA 2018,Placebo,2,27,1,1,2,Placebo
Harrison SA 2021a,Aldafermin,34,52,1,1,2,FGF19 analog
Harrison SA 2021a,Placebo,7,25,1,1,2,Placebo
Harrison SA 2022,Aldafermin,70,107,1,1,2,FGF19 analog
Harrison SA 2022,Placebo,11,37,1,1,2,Placebo
Harrison SA 2021b,Efruxifermin,48,48,1,1,2,FGF21 analog
Harrison SA 2021b,Placebo,2,20,1,1,2,Placebo
Harrison SA 2023a,Efruxifermin,63,73,2,1,2,FGF21 analog
Harrison SA 2023a,Placebo,9,42,2,1,2,Placebo
Loomba R 2023a,Pegbelfermin,34,120,2,1,2,FGF21 analog
Loomba R 2023a,Placebo,2,36,2,1,2,Placebo
Loomba R 2023b,Pegozafermin,84,131,2,1,2,FGF21 analog
Loomba R 2023b,Placebo,16,61,2,1,2,Placebo
Loomba R 2023c,Pegozafermin,40,63,1,1,2,FGF21 analog
Loomba R 2023c,Placebo,0,18,1,1,2,Placebo
Sanyal A 2019,Pegbelfermin,25,45,2,1,2,FGF21 analog
Sanyal A 2019,Placebo,6,25,2,1,2,Placebo
Harrison SA 2021c,MET409,25,30,1,1,1,FXR agonist
Harrison SA 2021c,Placebo,2,18,1,1,1,Placebo
Patel K 2020,Cilofexor,28,104,2,1,2,FXR agonist
Patel K 2020,Placebo,3,24,2,1,2,Placebo
Ratziu V 2023a,Vonafexor,25,56,1,1,2,FXR agonist
Ratziu V 2023a,Placebo,4,32,1,1,2,Placebo
Sanyal A 2023,Tropifexor,47,76,2,1,2,FXR agonist
Sanyal A 2023,Placebo,12,43,2,1,2,Placebo
Gawrieh S 2021,Saroglitazar,15,78,3,1,2,PPAR agonist
Gawrieh S 2021,Placebo,2,28,3,1,2,Placebo
Harrison SA 2023b,PXL065,31,71,1,1,2,TZDs
Harrison SA 2023b,Placebo,5,25,1,1,2,Placebo
Harrison SA 2019,Resmetirom,50,74,1,1,2,THR-beta agonist
Harrison SA 2019,Placebo,10,34,1,1,2,Placebo
Harrison SA 2025a,Pemvidutide,48,59,1,1,1,Incretins
Harrison SA 2025a,Placebo,1,24,1,1,1,Placebo
Sanyal A 2024a,Survodutide,136,162,1,1,2,Incretins
Sanyal A 2024a,Placebo,10,63,1,1,2,Placebo
Flint A 2021,Semaglutide,25,34,1,1,1,Incretins
Flint A 2021,Placebo,11,33,1,1,1,Placebo
Alkhouri N 2022,Semaglutide,14,18,3,1,2,Incretins
Alkhouri N 2022,Semaglutide + Cilofexor,34,38,3,1,2,FXR agonist + Incretins
Alkhouri N 2022,Semaglutide + Firsocostat,17,19,3,1,2,DNL + Incretins
Alkhouri N 2022,Semaglutide + Cilofexor + Firsocostat,13,17,3,1,2,DNL + FXR agonist + Incretins
Shankar SS 2024,Cotadutide,8,23,1,1,2,Incretins
Shankar SS 2024,Placebo,3,22,1,1,2,Placebo
Loomba R 2023d,Semaglutide,23,47,1,1,2,Incretins
Loomba R 2023d,Placebo,3,24,1,1,2,Placebo
Sanyal A 2024b,Retatrutide,70,79,1,1,2,Incretins
Sanyal A 2024b,Placebo,1,19,1,1,2,Placebo
Calle RA 2021,Clesacostat,165,244,1,1,2,DNL
Calle RA 2021,Placebo,3,61,1,1,2,Placebo
Loomba R 2024b,Denifanstat,45,81,1,1,2,DNL
Loomba R 2024b,Placebo,8,45,1,1,2,Placebo
Loomba R 2018,Firsocostat,33,93,1,1,2,DNL
Loomba R 2018,Placebo,4,26,1,1,2,Placebo
Loomba R 2021a,Denifanstat,24,58,1,1,2,DNL
Loomba R 2021a,Placebo,3,27,1,1,2,Placebo
Abdelmalek MF 2024,Pegbelfermin,21,87,1,1,2,FGF21 analog
Abdelmalek MF 2024,Placebo,5,33,1,1,2,Placebo
Ratziu V 2022,EDP-305,29,86,1,1,2,FXR agonist
Ratziu V 2022,Placebo,5,20,1,1,2,Placebo
Loomba R 2021c,TERN-101,14,74,1,1,2,FXR agonist
Loomba R 2021c,Placebo,3,26,1,1,2,Placebo
Harrison SA 2020b,Seladelpar,35,145,1,1,2,PPAR agonist
Harrison SA 2020b,Placebo,5,26,1,1,2,Placebo
Noureddin M 2024,TERN-501,29,68,1,1,2,THR-beta agonist
Noureddin M 2024,TERN-101,6,24,1,1,2,FXR agonist
Noureddin M 2024,TERN-501 + TERN-101,27,46,1,1,2,FXR agonist + THR-beta agonist
Noureddin M 2024,Placebo,1,24,1,1,2,Placebo
Cheung KS 2024,Empagliflozin,24,49,1,1,4,SGLT2 inhibitor
Cheung KS 2024,Placebo,20,48,1,1,4,Placebo
