study,treatment,responders,sampleSize,rob,ind,phase,category
Harrison SA 2021a,Aldafermin,12,50,1,1,2,FGF19 analog
Harrison SA 2021a,Placebo,2,22,1,1,2,Placebo
Harrison SA 2022,Aldafermin,18,107,1,1,2,FGF19 analog
Harrison SA 2022,Placebo,2,36,1,1,2,Placebo
Harrison SA 2021b,Efruxifermin,19,40,3,1,2,FGF21 analog
Harrison SA 2021b,Placebo,1,2,3,1,2,Placebo
Harrison SA 2023a,Efruxifermin,44,85,1,1,2,FGF21 analog
Harrison SA 2023a,Placebo,6,43,1,1,2,Placebo
Loomba R 2023a,Pegbelfermin,7,148,2,1,2,FGF21 analog
Loomba R 2023a,Placebo,3,49,2,1,2,Placebo
Loomba R 2023b,Pegozafermin,33,131,1,1,2,FGF21 analog
Loomba R 2023b,Placebo,1,61,1,1,2,Placebo
Neuschwander-Tetri BA 2015,Obeticholic acid,22,102,1,1,2,FXR agonist
Neuschwander-Tetri BA 2015,Placebo,13,98,1,1,2,Placebo
Sanyal A 2023,Tropifexor,4,73,2,1,2,FXR agonist
Sanyal A 2023,Placebo,0,42,2,1,2,Placebo
Younossi ZM; Ratziu V 2019,Obeticholic acid,71,620,2,1,3,FXR agonist
Younossi ZM; Ratziu V 2019,Placebo,25,311,2,1,3,Placebo
Armstrong MJ 2016,Liraglutide,9,23,1,1,2,Incretins
Armstrong MJ 2016,Placebo,2,22,1,1,2,Placebo
Newsome PN 2021,Semaglutide,77,172,1,1,2,Incretins
Newsome PN 2021,Placebo,10,58,1,1,2,Placebo
Francque SM 2021,Lanifibranor,73,166,1,1,2,PPAR agonist
Francque SM 2021,Placebo,18,81,1,1,2,Placebo
Ratziu V 2016,Elafibranor,29,182,2,1,2,PPAR agonist
Ratziu V 2016,Placebo,11,92,2,1,2,Placebo
Siddiqui MS 2021,Saroglitazar,7,13,3,1,2,PPAR agonist
Siddiqui MS 2021,Placebo,0,3,3,1,2,Placebo
Cusi K 2016,Pioglitazone,26,50,1,1,4,TZDs
Cusi K 2016,Placebo,10,51,1,1,4,Placebo
Harrison SA 2020a,MSDC-0602K,67,252,2,1,2,TZDs
Harrison SA 2020a,Placebo,15,74,2,1,2,Placebo
Harrison SA 2023b,PXL065,24,69,2,1,2,TZDs
Harrison SA 2023b,Placebo,7,23,2,1,2,Placebo
"Huang, Jee-Fu 2021",Pioglitazone,8,30,1,1,2,TZDs
"Huang, Jee-Fu 2021",Placebo,4,36,1,1,2,Placebo
Harrison SA 2019,Resmetirom,18,73,1,1,2,THR-beta agonist
Harrison SA 2019,Placebo,5,31,1,1,2,Placebo
Harrison SA 2024a,Resmetirom,178,637,1,1,3,THR-beta agonist
Harrison SA 2024a,Placebo,31,318,1,1,3,Placebo
Bril F 2019,Vitamin E,14,36,1,1,4,Vitamin E
Bril F 2019,Vitamin E + Pioglitazone,20,37,1,1,4,TZDs + Vitamin E
Bril F 2019,Placebo,5,32,1,1,4,Placebo
Sanyal A 2024a,Survodutide,108,219,1,1,2,Incretins
Sanyal A 2024a,Placebo,8,74,1,1,2,Placebo
Loomba R 2024a,Tirzepatide,77,142,1,1,2,Incretins
Loomba R 2024a,Placebo,5,48,1,1,2,Placebo
Loomba R 2024b,Denifanstat,31,112,1,1,2,DNL
Loomba R 2024b,Placebo,7,56,1,1,2,Placebo
Noureddin M 2025,Efruxifermin,48,79,1,1,2,FGF21 analog
Noureddin M 2025,Placebo,11,42,1,1,2,Placebo
Harrison SA 2023d,Efruxifermin,3,12,2,1,2,FGF21 analog
Harrison SA 2023d,Placebo,0,5,2,1,2,Placebo
Loomba R 2021b,Cilofexor,0.5,40,1,1,2,FXR agonist
Loomba R 2021b,Firsocostat,1,40,1,1,2,DNL
Loomba R 2021b,Placebo,0,39,1,1,2,Placebo
Harrison SA 2020b,Seladelpar,24,127,1,1,2,PPAR agonist
Harrison SA 2020b,Placebo,2,26,1,1,2,Placebo
NCT02704403,Elafibranor,138,717,1,1,3,PPAR agonist
NCT02704403,Placebo,52,353,1,1,3,Placebo
Song Y 2025,Vitamin E,7,58,1,1,3,Vitamin E
Song Y 2025,Placebo,11,64,1,1,3,Placebo
Sanyal A 2025,Semaglutide,336,534,1,1,3,Incretins
Sanyal A 2025,Placebo,91,266,1,1,3,Placebo
Sanyal A 2010,Pioglitazone,33,70,1,1,3,TZDs
Sanyal A 2010,Vitamin E,29,80,1,1,3,Vitamin E
Sanyal A 2010,Placebo,15,72,1,1,3,Placebo
Loomba R 2023d,Semaglutide,16,47,1,1,2,Incretins
Loomba R 2023d,Placebo,5,24,1,1,2,Placebo
Lin J 2025,Dapagliflozin,18,78,1,1,3,SGLT2 inhibitor
Lin J 2025,Placebo,6,76,1,1,3,Placebo
