study,treatment,responders,sampleSize,rob,ind,phase,category
Harrison SA 2021a,Aldafermin,29,50,1,1,2,FGF19 analog
Harrison SA 2021a,Placebo,4,22,1,1,2,Placebo
Harrison SA 2021b,Efruxifermin,35,40,3,1,2,FGF21 analog
Harrison SA 2021b,Placebo,2,2,3,1,2,Placebo
Loomba R 2023a,Pegbelfermin,37,148,2,1,2,FGF21 analog
Loomba R 2023a,Placebo,7,49,2,1,2,Placebo
Neuschwander-Tetri BA 2015,Obeticholic acid,47,102,1,1,2,FXR agonist
Neuschwander-Tetri BA 2015,Placebo,30,98,1,1,2,Placebo
Younossi ZM; Ratziu V 2019,Obeticholic acid,193,620,1,1,3,FXR agonist
Younossi ZM; Ratziu V 2019,Placebo,72,311,1,1,3,Placebo
Armstrong MJ 2016,Liraglutide,14,23,1,1,2,Incretins
Armstrong MJ 2016,Placebo,7,22,1,1,2,Placebo
Newsome PN 2021,Semaglutide,165,240,1,1,2,Incretins
Newsome PN 2021,Placebo,31,80,1,1,2,Placebo
Francque SM 2021,Lanifibranor,104,166,1,1,2,PPAR agonist
Francque SM 2021,Placebo,37,81,1,1,2,Placebo
Ratziu V 2016,Elafibranor,61,160,1,1,2,PPAR agonist
Ratziu V 2016,Placebo,24,77,1,1,2,Placebo
Cusi K 2016,Pioglitazone,25,50,1,1,4,TZDs
Cusi K 2016,Placebo,12,51,1,1,4,Placebo
Harrison SA 2023b,PXL065,36,69,2,1,2,TZDs
Harrison SA 2023b,Placebo,9,23,2,1,2,Placebo
"Huang, Jee-Fu 2021",Pioglitazone,7,30,1,1,2,TZDs
"Huang, Jee-Fu 2021",Placebo,4,36,1,1,2,Placebo
Ratziu V 2008,Rosiglitazone,8,32,1,1,2,TZDs
Ratziu V 2008,Placebo,7,31,1,1,2,Placebo
Sanyal A 2010,Pioglitazone,31,70,1,1,3,TZDs
Sanyal A 2010,Vitamin E,40,80,1,1,3,Vitamin E
Sanyal A 2010,Placebo,21,72,1,1,3,Placebo
Harrison SA 2019,Resmetirom,35,61,1,1,2,THR-beta agonist
Harrison SA 2019,Placebo,13,27,1,1,2,Placebo
Harrison SA 2024a,Resmetirom,402,637,1,1,3,THR-beta agonist
Harrison SA 2024a,Placebo,99,318,1,1,3,Placebo
Bril F 2019,Vitamin E,18,36,1,1,4,Vitamin E
Bril F 2019,Vitamin E + Pioglitazone,23,37,1,1,4,TZDs + Vitamin E
Bril F 2019,Placebo,11,32,1,1,4,Placebo
Loomba R 2023d,Semaglutide,26,47,1,1,2,Incretins
Loomba R 2023d,Placebo,8,24,1,1,2,Placebo
Loomba R 2024a,Tirzepatide,112,142,1,1,2,Incretins
Loomba R 2024a,Placebo,26,48,1,1,2,Placebo
Harrison SA 2022,Aldafermin,45,107,1,1,2,FGF19 analog
Harrison SA 2022,Placebo,8,36,1,1,2,Placebo
Abdelmalek MF 2024,Pegbelfermin,10,115,1,1,2,FGF21 analog
Abdelmalek MF 2024,Placebo,2,39,1,1,2,Placebo
Loomba R 2021b,Cilofexor,7,40,1,1,2,FXR agonist
Loomba R 2021b,Firsocostat,8,40,1,1,2,DNL
Loomba R 2021b,Placebo,5,39,1,1,2,Placebo
Aithal GP 2008,Pioglitazone,10,31,1,1,2,TZDs
Aithal GP 2008,Placebo,3,30,1,1,2,Placebo
NCT00227110,Pioglitazone,14,26,1,1,4,TZDs
NCT00227110,Placebo,5,21,1,1,4,Placebo
Song Y 2025,Vitamin E,10,58,1,1,3,Vitamin E
Song Y 2025,Placebo,16,64,1,1,3,Placebo
Sanyal A 2025,Semaglutide,282,534,1,1,3,Incretins
Sanyal A 2025,Placebo,90,266,1,1,3,Placebo
Lin J 2025,Dapagliflozin,37,78,1,1,3,SGLT2 inhibitor
Lin J 2025,Placebo,18,76,1,1,3,Placebo
