study,treatment,mean,std.dev,sampleSize,rob,ind,category
Harrison SA 2018,Aldafermin,-33.52363636,39.78604568,55,1,1,FGF19 analog
Harrison SA 2018,Placebo,-2.2,21.1,27,1,1,Placebo
Harrison SA 2021a,Aldafermin,-41.3,40,52,1,1,FGF19 analog
Harrison SA 2021a,Placebo,-7.4,19.8,25,1,1,Placebo
Harrison SA 2022,Aldafermin,-27.38984375,23.75711361,128,1,1,FGF19 analog
Harrison SA 2022,Placebo,-12.3,21.63954713,43,1,1,Placebo
Loomba R 2023b,Pegozafermin,-24.99618321,19.26872079,131,1,1,FGF21 analog
Loomba R 2023b,Placebo,-8.8,19.52562419,61,1,1,Placebo
Loomba R 2023c,Pegozafermin,-14.44423077,15.23529717,52,1,1,FGF21 analog
Loomba R 2023c,Placebo,-3.4,14.42497834,18,1,1,Placebo
Sanyal A 2019,Pegbelfermin,-25.08695652,31.54666814,46,1,1,FGF21 analog
Sanyal A 2019,Placebo,-7,53.1130869,24,1,1,Placebo
Neuschwander-Tetri BA 2015,Obeticholic acid,-38,47,126,1,1,FXR agonist
Neuschwander-Tetri BA 2015,Placebo,-18,44,131,1,1,Placebo
Patel K 2020,Cilofexor,-9.5,19.98025076,112,1,1,FXR agonist
Patel K 2020,Placebo,-2,11.85185185,28,1,1,Placebo
Ratziu V 2023a,Vonafexor,-11.7625,22.06118012,64,1,1,FXR agonist
Ratziu V 2023a,Placebo,-11.7,19.83144948,32,1,1,Placebo
Younossi ZM; Ratziu V 2019,Obeticholic acid,-29.86064516,55.46763046,620,1,1,FXR agonist
Younossi ZM; Ratziu V 2019,Placebo,-15.6,58.19613389,311,1,1,Placebo
Armstrong MJ 2016,Liraglutide,-26.6,34.4,23,1,1,Incretins
Armstrong MJ 2016,Placebo,-10.2,35.8,22,1,1,Placebo
Francque SM 2021,Lanifibranor,-25.31,33.18631872,154,1,1,PPAR agonist
Francque SM 2021,Placebo,-1.4,32.9979285,74,1,1,Placebo
Aithal GP 2008,Pioglitazone,-37.7,53.31763311,37,1,1,TZDs
Aithal GP 2008,Placebo,-6.9,40.61022039,37,1,1,Placebo
Cusi K 2016,Pioglitazone,-35,28.93095228,50,1,1,TZDs
Cusi K 2016,Placebo,-13,33,51,1,1,Placebo
Harrison SA 2023b,PXL065,-12.6,31.14445339,87,1,1,TZDs
Harrison SA 2023b,Placebo,-11.9,30.67246322,30,1,1,Placebo
"Huang, Jee-Fu 2021",Pioglitazone,-44.3,37.72903391,41,1,1,TZDs
"Huang, Jee-Fu 2021",Placebo,-10.5,44.19275959,46,1,1,Placebo
Harrison SA 2019,Resmetirom,-15.4,32.88631934,79,1,1,THR-beta agonist
Harrison SA 2019,Placebo,11,42.46598639,39,1,1,Placebo
Harrison SA 2023c,Resmetirom,-11.93251834,31.50443703,409,1,1,THR-beta agonist
Harrison SA 2023c,Placebo,-1.1,32.47398959,156,1,1,Placebo
Harrison SA 2024a,Resmetirom,-22.59584121,36.63037195,529,1,1,THR-beta agonist
Harrison SA 2024a,Placebo,-8.5,35.92714851,244,1,1,Placebo
Harrison SA 2025a,Pemvidutide,-13.69787234,14.02646271,47,1,1,Incretins
Harrison SA 2025a,Placebo,-6.2,13.03,24,1,1,Placebo
Loomba R 2023d,Semaglutide,-20.2,34.13605132,47,1,1,Incretins
Loomba R 2023d,Placebo,1.9,27.40273709,24,1,1,Placebo
Loomba R 2024b,Denifanstat,-20.1,23.27336058,80,1,1,DNL
Loomba R 2024b,Placebo,-13.9,22.91757852,43,1,1,Placebo
Harrison SA 2023d,Efruxifermin,-10.3,8.439911135,20,2,1,FGF21 analog
Harrison SA 2023d,Placebo,-1.3,7.548679484,10,2,1,Placebo
Rinella ME 2024,Aldafermin,-21.18453608,17.39242137,97,1,1,FGF19 analog
Rinella ME 2024,Placebo,-5.7,17.21162398,56,1,1,Placebo
Loomba R 2021b,Cilofexor,-12,13.07,40,1,1,FXR agonist
Loomba R 2021b,Firsocostat,-16,13.84,40,1,1,DNL
Loomba R 2021b,Placebo,-7,12.31,39,1,1,Placebo
Ratziu V 2022,EDP-305,-24.74259259,25.77952242,108,1,1,FXR agonist
Ratziu V 2022,Placebo,-15.4,24.98479538,24,1,1,Placebo
Sanyal A 2023,Tropifexor,-27.85841584,27.77397842,101,1,1,FXR agonist
Sanyal A 2023,Placebo,-11.7,61.64,51,1,1,Placebo
Siddiqui MS 2021,Saroglitazar,-26.45923077,21.33926778,13,3,1,PPAR agonist
Siddiqui MS 2021,Placebo,-14.67,48.95,3,3,1,Placebo
Yoneda M 2021,Pioglitazone,-33.8,19.69,17,2,1,TZDs
Yoneda M 2021,Tofogliflozin,-23.3,35.92,21,2,1,SGLT2 inhibitor
NCT05254626,Pioglitazone,-2.374318182,22.83671742,44,1,1,TZDs
NCT05254626,Dapagliflozin,-11.86478261,18.99801811,46,1,1,SGLT2 inhibitor
Bril F 2019,Vitamin E,-24,29,33,1,1,Vitamin E
Bril F 2019,Vitamin E + Pioglitazone,-18,17,29,1,1,TZDs + Vitamin E
Bril F 2019,Placebo,-6,42,24,1,1,Placebo
NCT00227110,Pioglitazone,-39,22.5,26,1,1,TZDs
NCT00227110,Placebo,-21,28.6,21,1,1,Placebo
Cheung KS 2024,Empagliflozin,-4.33,9.17,49,1,1,SGLT2 inhibitor
Cheung KS 2024,Placebo,-1,8.4,49,1,1,Placebo
Alkhouri N 2024,Vitamin E,-16.7,30.5,54,1,1,Vitamin E
Alkhouri N 2024,Placebo,-6.8,32.3,125,1,1,Placebo
Song Y 2025,Vitamin E,-10.1,44.8,58,1,1,Vitamin E
Song Y 2025,Placebo,-11.5,39.8,64,1,1,Placebo
Lin J 2025,Dapagliflozin,-17.8,28.51881834,78,1,1,SGLT2 inhibitor
Lin J 2025,Placebo,-12.99,29.01407434,76,1,1,Placebo
