"","DNL","FGF19 analog","FGF21 analog","FXR agonist","Incretins","Placebo","PPAR agonist","SGLT2 inhibitor","THR-beta agonist","TZDs","TZDs + Vitamin E","Vitamin E"
"DNL","DNL",".",".","1.29 (0.43,  3.92)",".","1.52 (0.51,  4.55)",".",".",".",".",".","."
"FGF19 analog","1.01 (0.30, 3.43)","FGF19 analog",".",".",".","1.69 (0.81,  3.54)",".",".",".",".",".","."
"FGF21 analog","1.22 (0.36, 4.08)","1.21 (0.43, 3.38)","FGF21 analog",".",".","1.40 (0.68,  2.86)",".",".",".",".",".","."
"FXR agonist","1.15 (0.43, 3.04)","1.14 (0.49, 2.66)","0.94 (0.41, 2.15)","FXR agonist",".","1.49 (0.98,  2.25)",".",".",".",".",".","."
"Incretins","0.84 (0.30, 2.36)","0.83 (0.36, 1.89)","0.68 (0.31, 1.53)","0.73 (0.42, 1.27)","Incretins","2.04 (1.41,  2.95)",".",".",".",".",".","."
"Placebo","1.71 (0.64, 4.51)","1.69 (0.81, 3.54)","1.40 (0.68, 2.86)","1.49 (0.98, 2.25)","2.04 (1.41, 2.95)","Placebo","0.84 (0.50,  1.42)","0.45 (0.20,  1.03)","0.68 (0.41,  1.14)","0.42 (0.27,  0.65)","0.37 (0.13,  1.11)","0.78 (0.46,  1.31)"
"PPAR agonist","1.44 (0.48, 4.34)","1.43 (0.58, 3.52)","1.18 (0.49, 2.86)","1.25 (0.64, 2.44)","1.72 (0.91, 3.26)","0.84 (0.50, 1.42)","PPAR agonist",".",".",".",".","."
"SGLT2 inhibitor","0.77 (0.22, 2.75)","0.76 (0.25, 2.31)","0.63 (0.21, 1.88)","0.67 (0.27, 1.69)","0.92 (0.37, 2.27)","0.45 (0.20, 1.03)","0.54 (0.20, 1.42)","SGLT2 inhibitor",".",".",".","."
"THR-beta agonist","1.16 (0.39, 3.48)","1.15 (0.47, 2.82)","0.95 (0.39, 2.29)","1.01 (0.52, 1.95)","1.39 (0.74, 2.61)","0.68 (0.41, 1.14)","0.81 (0.39, 1.67)","1.50 (0.57, 3.97)","THR-beta agonist",".",".","."
"TZDs","0.77 (0.27, 2.24)","0.77 (0.33, 1.80)","0.64 (0.28, 1.45)","0.68 (0.37, 1.22)","0.93 (0.53, 1.62)","0.45 (0.30, 0.69)","0.54 (0.28, 1.05)","1.01 (0.40, 2.53)","0.67 (0.34, 1.30)","TZDs",".","1.22 (0.54,  2.73)"
"TZDs + Vitamin E","0.47 (0.12, 1.86)","0.47 (0.14, 1.58)","0.38 (0.11, 1.29)","0.41 (0.14, 1.18)","0.56 (0.20, 1.59)","0.28 (0.10, 0.73)","0.33 (0.11, 0.99)","0.61 (0.17, 2.18)","0.41 (0.13, 1.22)","0.61 (0.21, 1.72)","TZDs + Vitamin E","3.69 (1.25, 10.87)"
"Vitamin E","1.29 (0.43, 3.86)","1.28 (0.52, 3.12)","1.06 (0.44, 2.53)","1.13 (0.59, 2.16)","1.55 (0.83, 2.88)","0.76 (0.46, 1.25)","0.90 (0.44, 1.85)","1.68 (0.64, 4.39)","1.12 (0.54, 2.28)","1.67 (0.93, 2.98)","2.75 (1.04, 7.28)","Vitamin E"
