"","Aldafermin","Cilofexor","Dapagliflozin","Elafibranor","Firsocostat","Lanifibranor","Liraglutide","Obeticholic acid","Pegbelfermin","Pioglitazone","Placebo","PXL065","Resmetirom","Rosiglitazone","Semaglutide","Tirzepatide","Vitamin E","Vitamin E + Pioglitazone"
"Aldafermin","Aldafermin",".",".",".",".",".",".",".",".",".","4.76 (2.06, 11.00)",".",".",".",".",".",".","."
"Cilofexor","4.31 (0.44, 42.64)","Cilofexor",".",".","0.17 (0.03,  0.98)",".",".",".",".",".","1.10 (0.13,  9.31)",".",".",".",".",".",".","."
"Dapagliflozin","2.20 (0.62,  7.74)","0.51 (0.05,  5.24)","Dapagliflozin",".",".",".",".",".",".",".","2.17 (0.85,  5.55)",".",".",".",".",".",".","."
"Elafibranor","3.70 (1.04, 13.13)","0.86 (0.08,  8.85)","1.68 (0.44,  6.41)","Elafibranor",".",".",".",".",".",".","1.29 (0.50,  3.33)",".",".",".",".",".",".","."
"Firsocostat","0.73 (0.10,  5.10)","0.17 (0.03,  0.98)","0.33 (0.05,  2.43)","0.20 (0.03,  1.45)","Firsocostat",".",".",".",".",".","6.55 (1.13, 38.02)",".",".",".",".",".",".","."
"Lanifibranor","1.10 (0.32,  3.74)","0.25 (0.03,  2.57)","0.50 (0.14,  1.83)","0.30 (0.08,  1.10)","1.51 (0.21, 10.87)","Lanifibranor",".",".",".",".","4.33 (1.77, 10.57)",".",".",".",".",".",".","."
"Liraglutide","0.84 (0.15,  4.75)","0.19 (0.01,  2.66)","0.38 (0.06,  2.28)","0.23 (0.04,  1.36)","1.15 (0.11, 11.77)","0.76 (0.13,  4.44)","Liraglutide",".",".",".","5.70 (1.24, 26.14)",".",".",".",".",".",".","."
"Obeticholic acid","3.02 (1.10,  8.27)","0.70 (0.08,  6.34)","1.37 (0.46,  4.11)","0.82 (0.27,  2.46)","4.15 (0.65, 26.30)","2.74 (0.96,  7.88)","3.61 (0.71, 18.32)","Obeticholic acid",".",".","1.58 (0.90,  2.77)",".",".",".",".",".",".","."
"Pegbelfermin","1.37 (0.32,  5.80)","0.32 (0.03,  3.63)","0.62 (0.14,  2.81)","0.37 (0.08,  1.68)","1.88 (0.23, 15.63)","1.25 (0.29,  5.45)","1.64 (0.24, 11.23)","0.45 (0.12,  1.67)","Pegbelfermin",".","3.47 (1.07, 11.25)",".",".",".",".",".",".","."
"Pioglitazone","1.25 (0.46,  3.42)","0.29 (0.03,  2.63)","0.57 (0.19,  1.70)","0.34 (0.11,  1.02)","1.72 (0.27, 10.90)","1.14 (0.40,  3.26)","1.50 (0.30,  7.59)","0.42 (0.19,  0.91)","0.91 (0.25,  3.35)","Pioglitazone","3.90 (2.20,  6.90)",".",".",".",".",".","1.88 (0.73,  4.85)","."
"Placebo","4.76 (2.06, 11.00)","1.10 (0.13,  9.31)","2.17 (0.85,  5.55)","1.29 (0.50,  3.33)","6.55 (1.13, 38.02)","4.33 (1.77, 10.57)","5.70 (1.24, 26.14)","1.58 (0.90,  2.77)","3.47 (1.07, 11.25)","3.80 (2.18,  6.61)","Placebo","0.29 (0.07,  1.13)","0.31 (0.17,  0.57)","0.22 (0.06,  0.85)","0.32 (0.19,  0.54)","0.22 (0.08,  0.57)","0.46 (0.25,  0.84)","0.14 (0.04,  0.53)"
"PXL065","1.38 (0.28,  6.82)","0.32 (0.03,  4.01)","0.63 (0.12,  3.28)","0.37 (0.07,  1.96)","1.90 (0.21, 17.54)","1.26 (0.25,  6.38)","1.66 (0.22, 12.74)","0.46 (0.11,  1.99)","1.01 (0.17,  6.07)","1.10 (0.25,  4.78)","0.29 (0.07,  1.13)","PXL065",".",".",".",".",".","."
"Resmetirom","1.46 (0.52,  4.13)","0.34 (0.04,  3.11)","0.66 (0.22,  2.04)","0.39 (0.13,  1.23)","2.01 (0.31, 12.95)","1.33 (0.45,  3.93)","1.75 (0.34,  9.04)","0.48 (0.21,  1.11)","1.07 (0.28,  4.01)","1.16 (0.51,  2.67)","0.31 (0.17,  0.57)","1.06 (0.24,  4.69)","Resmetirom",".",".",".",".","."
"Rosiglitazone","1.04 (0.21,  5.13)","0.24 (0.02,  3.02)","0.47 (0.09,  2.47)","0.28 (0.05,  1.48)","1.43 (0.15, 13.19)","0.94 (0.19,  4.80)","1.24 (0.16,  9.58)","0.34 (0.08,  1.50)","0.76 (0.13,  4.57)","0.83 (0.19,  3.60)","0.22 (0.06,  0.85)","0.75 (0.11,  5.13)","0.71 (0.16,  3.16)","Rosiglitazone",".",".",".","."
"Semaglutide","1.54 (0.58,  4.11)","0.36 (0.04,  3.20)","0.70 (0.24,  2.04)","0.42 (0.14,  1.23)","2.12 (0.34, 13.23)","1.40 (0.50,  3.92)","1.84 (0.37,  9.19)","0.51 (0.24,  1.09)","1.12 (0.31,  4.05)","1.23 (0.58,  2.61)","0.32 (0.19,  0.54)","1.11 (0.26,  4.76)","1.05 (0.47,  2.35)","1.48 (0.35,  6.35)","Semaglutide",".",".","."
"Tirzepatide","1.03 (0.29,  3.72)","0.24 (0.02,  2.49)","0.47 (0.12,  1.82)","0.28 (0.07,  1.09)","1.42 (0.19, 10.60)","0.94 (0.25,  3.51)","1.24 (0.20,  7.53)","0.34 (0.11,  1.05)","0.75 (0.16,  3.46)","0.82 (0.27,  2.52)","0.22 (0.08,  0.57)","0.75 (0.14,  3.97)","0.71 (0.22,  2.23)","1.00 (0.19,  5.30)","0.67 (0.22,  2.01)","Tirzepatide",".","."
"Vitamin E","2.28 (0.83,  6.30)","0.53 (0.06,  4.82)","1.04 (0.35,  3.13)","0.62 (0.20,  1.87)","3.14 (0.49, 19.98)","2.08 (0.72,  6.00)","2.74 (0.54, 13.92)","0.76 (0.34,  1.69)","1.67 (0.45,  6.16)","1.82 (0.90,  3.67)","0.48 (0.27,  0.85)","1.65 (0.38,  7.22)","1.56 (0.67,  3.63)","2.20 (0.50,  9.64)","1.48 (0.69,  3.20)","2.21 (0.72,  6.82)","Vitamin E","0.31 (0.08,  1.20)"
"Vitamin E + Pioglitazone","0.68 (0.15,  3.07)","0.16 (0.01,  1.87)","0.31 (0.07,  1.48)","0.19 (0.04,  0.89)","0.94 (0.11,  8.12)","0.62 (0.13,  2.88)","0.82 (0.11,  5.86)","0.23 (0.06,  0.89)","0.50 (0.09,  2.77)","0.55 (0.14,  2.08)","0.14 (0.04,  0.50)","0.50 (0.08,  3.13)","0.47 (0.12,  1.88)","0.66 (0.10,  4.17)","0.44 (0.12,  1.71)","0.66 (0.14,  3.21)","0.30 (0.09,  1.04)","Vitamin E + Pioglitazone"
