"","Aldafermin","Cilofexor","Clesacostat","Dapagliflozin","Denifanstat","Efruxifermin","Empagliflozin","Firsocostat","Pegozafermin","Pemvidutide","Pioglitazone","Placebo","PXL065","Resmetirom","Saroglitazar","Seladelpar","Survodutide","TERN-101","TERN-501","TERN-501 + TERN-101","Tirzepatide","Tofogliflozin","Tropifexor","Vitamin E","Vonafexor"
"Aldafermin","Aldafermin",".",".",".",".",".",".",".",".",".",".","-0.96 (-1.37, -0.54)",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cilofexor","-0.43 (-1.26,  0.39)","Cilofexor",".",".",".",".",".",".",".",".",".","-0.52 (-1.24,  0.20)",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clesacostat","0.26 (-0.50,  1.02)","0.70 (-0.26,  1.65)","Clesacostat",".",".",".",".",".",".",".",".","-1.22 (-1.85, -0.58)",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dapagliflozin","-0.42 (-1.37,  0.53)","0.01 (-1.10,  1.13)","-0.68 (-1.75,  0.38)","Dapagliflozin",".",".",".",".",".",".",".","-0.53 (-1.39,  0.32)",".",".",".",".",".",".",".",".",".",".",".",".","."
"Denifanstat","-0.43 (-1.07,  0.22)","0.01 (-0.86,  0.88)","-0.69 (-1.49,  0.12)","-0.00 (-0.99,  0.98)","Denifanstat",".",".",".",".",".",".","-0.53 (-1.02, -0.04)",".",".",".",".",".",".",".",".",".",".",".",".","."
"Efruxifermin","1.53 ( 0.83,  2.23)","1.96 ( 1.05,  2.88)","1.27 ( 0.42,  2.12)","1.95 ( 0.92,  2.98)","1.95 ( 1.20,  2.71)","Efruxifermin",".",".",".",".",".","-2.48 (-3.05, -1.92)",".",".",".",".",".",".",".",".",".",".",".",".","."
"Empagliflozin","-0.50 (-1.31,  0.30)","-0.07 (-1.06,  0.93)","-0.76 (-1.70,  0.18)","-0.08 (-1.18,  1.02)","-0.08 (-0.92,  0.77)","-2.03 (-2.92, -1.14)","Empagliflozin",".",".",".",".","-0.45 (-1.15,  0.24)",".",".",".",".",".",".",".",".",".",".",".",".","."
"Firsocostat","-0.31 (-1.14,  0.51)","0.12 (-0.89,  1.13)","-0.57 (-1.53,  0.38)","0.11 (-1.01,  1.22)","0.11 (-0.76,  0.98)","-1.84 (-2.75, -0.93)","0.19 (-0.81,  1.18)","Firsocostat",".",".",".","-0.64 (-1.36,  0.07)",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pegozafermin","0.44 (-0.22,  1.10)","0.88 (-0.01,  1.76)","0.18 (-0.64,  1.00)","0.86 (-0.14,  1.86)","0.87 ( 0.15,  1.58)","-1.09 (-1.85, -0.32)","0.94 ( 0.08,  1.80)","0.76 (-0.12,  1.64)","Pegozafermin",".",".","-1.40 (-1.91, -0.88)",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pemvidutide","0.45 (-0.43,  1.32)","0.88 (-0.17,  1.93)","0.18 (-0.81,  1.18)","0.87 (-0.28,  2.01)","0.87 (-0.04,  1.78)","-1.08 (-2.04, -0.13)","0.95 (-0.08,  1.98)","0.76 (-0.29,  1.81)","0.00 (-0.92,  0.93)","Pemvidutide",".","-1.40 (-2.17, -0.64)",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pioglitazone","-0.56 (-1.40,  0.27)","-0.13 (-1.15,  0.89)","-0.82 (-1.79,  0.14)","-0.14 (-1.26,  0.98)","-0.14 (-1.01,  0.74)","-2.09 (-3.01, -1.17)","-0.06 (-1.06,  0.94)","-0.25 (-1.27,  0.77)","-1.00 (-1.89, -0.11)","-1.01 (-2.06,  0.05)","Pioglitazone","-0.39 (-1.12,  0.33)",".",".",".",".",".",".",".",".",".","-0.50 (-1.36,  0.35)",".",".","."
"Placebo","-0.96 (-1.37, -0.54)","-0.52 (-1.24,  0.20)","-1.22 (-1.85, -0.58)","-0.53 (-1.39,  0.32)","-0.53 (-1.02, -0.04)","-2.48 (-3.05, -1.92)","-0.45 (-1.15,  0.24)","-0.64 (-1.36,  0.07)","-1.40 (-1.91, -0.88)","-1.40 (-2.17, -0.64)","-0.39 (-1.12,  0.33)","Placebo","0.64 (-0.06,  1.34)","0.78 ( 0.43,  1.14)","0.30 (-0.41,  1.01)","-0.15 (-0.85,  0.55)","1.74 ( 1.10,  2.39)","0.56 (-0.26,  1.38)","0.90 ( 0.14,  1.65)","1.15 ( 0.37,  1.93)","3.89 ( 3.13,  4.65)",".","0.90 ( 0.24,  1.56)","0.07 (-0.65,  0.80)","0.74 ( 0.02,  1.46)"
