"","Aldafermin","Cilofexor","Dapagliflozin","Efruxifermin","Elafibranor","Firsocostat","Lanifibranor","Liraglutide","Obeticholic acid","Pegbelfermin","Pioglitazone","Placebo","PXL065","Resmetirom","Rosiglitazone","Semaglutide","Tirzepatide","Vitamin E","Vitamin E + Pioglitazone"
"Aldafermin","Aldafermin",".",".",".",".",".",".",".",".",".",".","1.70 (0.80,  3.61)",".",".",".",".",".",".","."
"Cilofexor","1.45 (0.37,   5.63)","Cilofexor",".",".",".","0.77 (0.25,  2.38)",".",".",".",".",".","1.17 (0.38,  3.64)",".",".",".",".",".",".","."
"Dapagliflozin","0.77 (0.25,   2.38)","0.53 (0.13,   2.17)","Dapagliflozin",".",".",".",".",".",".",".",".","2.22 (0.95,  5.16)",".",".",".",".",".",".","."
"Efruxifermin","0.49 (0.02,  10.03)","0.34 (0.01,   7.78)","0.64 (0.03,  13.39)","Efruxifermin",".",".",".",".",".",".",".","3.44 (0.19, 63.63)",".",".",".",".",".",".","."
"Elafibranor","1.80 (0.61,   5.30)","1.24 (0.32,   4.90)","2.35 (0.75,   7.38)","3.65 (0.18,  74.59)","Elafibranor",".",".",".",".",".",".","0.94 (0.44,  2.04)",".",".",".",".",".",".","."
"Firsocostat","1.12 (0.29,   4.29)","0.77 (0.25,   2.38)","1.46 (0.36,   5.90)","2.27 (0.10,  51.43)","0.62 (0.16,   2.41)","Firsocostat",".",".",".",".",".","1.52 (0.50,  4.63)",".",".",".",".",".",".","."
"Lanifibranor","1.16 (0.40,   3.35)","0.80 (0.21,   3.11)","1.51 (0.49,   4.67)","2.34 (0.12,  47.61)","0.64 (0.22,   1.89)","1.03 (0.27,   3.96)","Lanifibranor",".",".",".",".","1.47 (0.69,  3.12)",".",".",".",".",".",".","."
"Liraglutide","2.22 (0.50,   9.84)","1.54 (0.28,   8.49)","2.90 (0.62,  13.47)","4.51 (0.19, 109.06)","1.23 (0.28,   5.52)","1.99 (0.36,  10.87)","1.93 (0.44,   8.52)","Liraglutide",".",".",".","0.76 (0.21,  2.75)",".",".",".",".",".",".","."
"Obeticholic acid","1.09 (0.45,   2.66)","0.76 (0.22,   2.57)","1.43 (0.54,   3.75)","2.22 (0.12,  42.56)","0.61 (0.25,   1.50)","0.98 (0.29,   3.28)","0.95 (0.39,   2.30)","0.49 (0.13,   1.93)","Obeticholic acid",".",".","1.55 (0.97,  2.48)",".",".",".",".",".",".","."
"Pegbelfermin","1.28 (0.44,   3.72)","0.89 (0.23,   3.45)","1.67 (0.54,   5.18)","2.60 (0.13,  52.85)","0.71 (0.24,   2.09)","1.15 (0.30,   4.40)","1.11 (0.38,   3.22)","0.58 (0.13,   2.55)","1.17 (0.48,   2.84)","Pegbelfermin",".","1.32 (0.62,  2.81)",".",".",".",".",".",".","."
"Pioglitazone","0.63 (0.25,   1.56)","0.44 (0.13,   1.51)","0.82 (0.31,   2.21)","1.28 (0.07,  24.68)","0.35 (0.14,   0.88)","0.56 (0.17,   1.92)","0.55 (0.22,   1.36)","0.28 (0.07,   1.13)","0.58 (0.29,   1.15)","0.49 (0.20,   1.22)","Pioglitazone","3.06 (1.81,  5.19)",".",".",".",".",".","1.22 (0.53,  2.79)","."
"Placebo","1.70 (0.80,   3.61)","1.17 (0.38,   3.64)","2.22 (0.95,   5.16)","3.44 (0.19,  63.63)","0.94 (0.44,   2.04)","1.52 (0.50,   4.63)","1.47 (0.69,   3.12)","0.76 (0.21,   2.75)","1.55 (0.97,   2.48)","1.32 (0.62,   2.81)","2.70 (1.62,   4.49)","Placebo","0.94 (0.32,  2.78)","0.67 (0.39,  1.15)","0.55 (0.18,  1.71)","0.49 (0.31,  0.76)","0.34 (0.14,  0.79)","0.78 (0.45,  1.33)","0.37 (0.12,  1.13)"
"PXL065","1.60 (0.43,   5.97)","1.11 (0.23,   5.29)","2.09 (0.53,   8.23)","3.25 (0.15,  72.83)","0.89 (0.24,   3.36)","1.43 (0.30,   6.76)","1.39 (0.37,   5.17)","0.72 (0.13,   3.85)","1.46 (0.45,   4.75)","1.25 (0.34,   4.66)","2.54 (0.77,   8.39)","0.94 (0.32,   2.78)","PXL065",".",".",".",".",".","."
"Resmetirom","1.14 (0.45,   2.88)","0.79 (0.22,   2.76)","1.49 (0.55,   4.05)","2.31 (0.12,  44.84)","0.63 (0.25,   1.62)","1.02 (0.30,   3.51)","0.99 (0.39,   2.49)","0.51 (0.13,   2.06)","1.04 (0.51,   2.13)","0.89 (0.35,   2.24)","1.81 (0.86,   3.80)","0.67 (0.39,   1.15)","0.71 (0.21,   2.38)","Resmetirom",".",".",".",".","."
"Rosiglitazone","0.93 (0.24,   3.65)","0.65 (0.13,   3.21)","1.22 (0.30,   5.02)","1.89 (0.08,  43.33)","0.52 (0.13,   2.05)","0.84 (0.17,   4.10)","0.81 (0.21,   3.16)","0.42 (0.08,   2.33)","0.85 (0.25,   2.92)","0.73 (0.19,   2.85)","1.48 (0.43,   5.15)","0.55 (0.18,   1.71)","0.58 (0.12,   2.79)","0.82 (0.23,   2.89)","Rosiglitazone",".",".",".","."
"Semaglutide","0.83 (0.34,   1.98)","0.57 (0.17,   1.92)","1.08 (0.41,   2.80)","1.67 (0.09,  31.98)","0.46 (0.19,   1.12)","0.74 (0.22,   2.45)","0.71 (0.30,   1.72)","0.37 (0.10,   1.44)","0.75 (0.39,   1.44)","0.64 (0.27,   1.54)","1.31 (0.66,   2.58)","0.49 (0.31,   0.76)","0.51 (0.16,   1.66)","0.72 (0.36,   1.46)","0.88 (0.26,   3.00)","Semaglutide",".",".","."
"Tirzepatide","0.57 (0.18,   1.79)","0.40 (0.10,   1.63)","0.75 (0.22,   2.49)","1.16 (0.06,  24.23)","0.32 (0.10,   1.01)","0.51 (0.13,   2.09)","0.49 (0.16,   1.55)","0.26 (0.05,   1.20)","0.52 (0.20,   1.39)","0.45 (0.14,   1.39)","0.91 (0.33,   2.46)","0.34 (0.14,   0.79)","0.36 (0.09,   1.42)","0.50 (0.18,   1.38)","0.61 (0.15,   2.54)","0.69 (0.26,   1.82)","Tirzepatide",".","."
"Vitamin E","1.23 (0.49,   3.06)","0.85 (0.24,   2.94)","1.60 (0.60,   4.31)","2.49 (0.13,  48.16)","0.68 (0.27,   1.73)","1.10 (0.32,   3.75)","1.06 (0.43,   2.65)","0.55 (0.14,   2.20)","1.12 (0.56,   2.26)","0.96 (0.38,   2.38)","1.95 (1.04,   3.66)","0.72 (0.43,   1.21)","0.77 (0.23,   2.54)","1.08 (0.51,   2.27)","1.32 (0.38,   4.58)","1.49 (0.75,   2.95)","2.15 (0.79,   5.85)","Vitamin E","0.27 (0.09,  0.81)"
"Vitamin E + Pioglitazone","0.46 (0.13,   1.59)","0.32 (0.07,   1.42)","0.60 (0.16,   2.19)","0.93 (0.04,  20.16)","0.25 (0.07,   0.89)","0.41 (0.09,   1.82)","0.40 (0.11,   1.37)","0.21 (0.04,   1.04)","0.42 (0.14,   1.25)","0.36 (0.10,   1.24)","0.72 (0.24,   2.15)","0.27 (0.10,   0.72)","0.28 (0.07,   1.23)","0.40 (0.13,   1.24)","0.49 (0.11,   2.21)","0.55 (0.19,   1.64)","0.80 (0.22,   2.97)","0.37 (0.14,   1.00)","Vitamin E + Pioglitazone"
