"","DNL","FGF19 analog","FGF21 analog","FXR agonist","Incretins","Placebo","PPAR agonist","SGLT2 inhibitor","THR-beta agonist","TZDs","TZDs + Vitamin E","Vitamin E"
"DNL","DNL",".",".","-0.76 (-1.31, -0.21)",".","-0.52 (-0.88, -0.15)",".",".",".",".",".","."
"FGF19 analog","0.06 (-0.37,  0.49)","FGF19 analog",".",".",".","-0.63 (-0.88, -0.37)",".",".",".",".",".","."
"FGF21 analog","0.00 (-0.45,  0.45)","-0.06 (-0.44,  0.33)","FGF21 analog",".",".","-0.57 (-0.86, -0.28)",".",".",".",".",".","."
"FXR agonist","-0.46 (-0.83, -0.10)","-0.52 (-0.83, -0.21)","-0.46 (-0.80, -0.13)","FXR agonist",".","-0.13 (-0.30,  0.05)",".",".",".",".",".","."
"Incretins","-0.01 (-0.57,  0.56)","-0.06 (-0.58,  0.45)","-0.01 (-0.54,  0.53)","0.46 (-0.02,  0.94)","Incretins","-0.57 (-1.01, -0.12)",".",".",".",".",".","."
"Placebo","-0.57 (-0.92, -0.22)","-0.63 (-0.88, -0.37)","-0.57 (-0.86, -0.28)","-0.11 (-0.28,  0.06)","-0.57 (-1.01, -0.12)","Placebo","0.41 ( 0.01,  0.82)","0.34 ( 0.01,  0.68)","0.34 ( 0.11,  0.57)","0.44 ( 0.17,  0.72)","0.10 (-0.53,  0.73)","0.15 (-0.13,  0.44)"
"PPAR agonist","-0.16 (-0.69,  0.38)","-0.21 (-0.69,  0.26)","-0.16 (-0.65,  0.34)","0.31 (-0.13,  0.74)","-0.15 (-0.75,  0.45)","0.41 ( 0.01,  0.82)","PPAR agonist",".",".",".",".","."
"SGLT2 inhibitor","-0.17 (-0.62,  0.27)","-0.23 (-0.61,  0.15)","-0.17 (-0.58,  0.23)","0.29 (-0.04,  0.62)","-0.17 (-0.69,  0.36)","0.40 ( 0.12,  0.68)","-0.02 (-0.51,  0.47)","SGLT2 inhibitor",".","-0.08 (-0.51,  0.35)",".","."
"THR-beta agonist","-0.23 (-0.64,  0.18)","-0.29 (-0.63,  0.05)","-0.23 (-0.60,  0.14)","0.23 (-0.05,  0.52)","-0.23 (-0.73,  0.28)","0.34 ( 0.11,  0.57)","-0.07 (-0.54,  0.39)","-0.06 (-0.42,  0.30)","THR-beta agonist",".",".","."
"TZDs","-0.16 (-0.59,  0.26)","-0.22 (-0.58,  0.13)","-0.17 (-0.55,  0.21)","0.30 ( 0.00,  0.60)","-0.16 (-0.67,  0.35)","0.41 ( 0.16,  0.65)","-0.01 (-0.48,  0.46)","0.01 (-0.30,  0.31)","0.07 (-0.27,  0.40)","TZDs",".","."
"TZDs + Vitamin E","-0.58 (-1.23,  0.07)","-0.64 (-1.24, -0.03)","-0.58 (-1.20,  0.04)","-0.12 (-0.69,  0.46)","-0.57 (-1.28,  0.13)","-0.01 (-0.56,  0.54)","-0.42 (-1.10,  0.26)","-0.41 (-1.02,  0.21)","-0.35 (-0.94,  0.25)","-0.41 (-1.02,  0.19)","TZDs + Vitamin E","0.25 (-0.34,  0.84)"
"Vitamin E","-0.42 (-0.87,  0.03)","-0.47 (-0.86, -0.09)","-0.42 (-0.83, -0.01)","0.05 (-0.29,  0.38)","-0.41 (-0.94,  0.12)","0.15 (-0.13,  0.44)","-0.26 (-0.76,  0.24)","-0.24 (-0.65,  0.16)","-0.19 (-0.55,  0.18)","-0.25 (-0.63,  0.13)","0.16 (-0.38,  0.70)","Vitamin E"
