"","DNL","FGF19 analog","FGF21 analog","FXR agonist","Incretins","Placebo","PPAR agonist","SGLT2 inhibitor","THR-beta agonist","TZDs","TZDs + Vitamin E","Vitamin E"
"DNL","DNL",".",".","1.00 (0.19, 5.14)",".","1.90 (0.75, 4.82)",".",".",".",".",".","."
"FGF19 analog","1.23 (0.28,  5.46)","FGF19 analog",".",".",".","1.59 (0.48, 5.29)",".",".",".",".",".","."
"FGF21 analog","1.31 (0.40,  4.31)","1.06 (0.25,  4.49)","FGF21 analog",".",".","1.50 (0.68, 3.33)",".",".",".",".",".","."
"FXR agonist","1.23 (0.48,  3.20)","1.00 (0.28,  3.61)","0.94 (0.38,  2.36)","FXR agonist",".","1.55 (0.99, 2.44)",".",".",".",".",".","."
"Incretins","0.96 (0.35,  2.68)","0.78 (0.21,  2.88)","0.74 (0.28,  1.90)","0.78 (0.39,  1.54)","Incretins","2.04 (1.22, 3.41)",".",".",".",".",".","."
"Placebo","1.96 (0.81,  4.76)","1.59 (0.48,  5.29)","1.50 (0.68,  3.33)","1.59 (1.02,  2.49)","2.04 (1.22,  3.41)","Placebo","0.60 (0.17, 2.17)","0.30 (0.11, 0.85)","0.50 (0.22, 1.13)","0.82 (0.36, 1.86)","0.43 (0.13, 1.48)","0.47 (0.20, 1.09)"
"PPAR agonist","1.18 (0.25,  5.62)","0.96 (0.17,  5.56)","0.90 (0.20,  4.09)","0.96 (0.25,  3.73)","1.23 (0.31,  4.89)","0.60 (0.17,  2.17)","PPAR agonist",".",".",".",".","."
"SGLT2 inhibitor","0.59 (0.15,  2.31)","0.48 (0.10,  2.34)","0.45 (0.12,  1.67)","0.48 (0.16,  1.48)","0.62 (0.19,  1.95)","0.30 (0.11,  0.85)","0.50 (0.10,  2.61)","SGLT2 inhibitor",".",".",".","."
"THR-beta agonist","0.97 (0.29,  3.26)","0.79 (0.18,  3.38)","0.74 (0.24,  2.34)","0.79 (0.31,  2.01)","1.01 (0.38,  2.67)","0.50 (0.22,  1.13)","0.82 (0.18,  3.78)","1.64 (0.44,  6.14)","THR-beta agonist",".",".","."
"TZDs","1.61 (0.48,  5.37)","1.31 (0.31,  5.57)","1.23 (0.39,  3.85)","1.30 (0.51,  3.31)","1.67 (0.64,  4.38)","0.82 (0.36,  1.86)","1.36 (0.30,  6.23)","2.71 (0.73, 10.12)","1.65 (0.52,  5.28)","TZDs",".","."
"TZDs + Vitamin E","0.91 (0.22,  3.84)","0.74 (0.14,  3.86)","0.70 (0.17,  2.79)","0.74 (0.22,  2.50)","0.95 (0.27,  3.28)","0.47 (0.15,  1.44)","0.77 (0.14,  4.28)","1.54 (0.33,  7.12)","0.94 (0.23,  3.80)","0.57 (0.14,  2.29)","TZDs + Vitamin E","0.94 (0.29, 3.07)"
"Vitamin E","0.92 (0.27,  3.13)","0.75 (0.17,  3.24)","0.70 (0.22,  2.25)","0.75 (0.29,  1.94)","0.95 (0.35,  2.57)","0.47 (0.20,  1.09)","0.78 (0.17,  3.62)","1.55 (0.41,  5.90)","0.95 (0.29,  3.08)","0.57 (0.18,  1.86)","1.01 (0.33,  3.04)","Vitamin E"
