"","DNL","FGF19 analog","FGF21 analog","FXR agonist","Incretins","Placebo","PPAR agonist","SGLT2 inhibitor","THR-beta agonist","TZDs","TZDs + Vitamin E","Vitamin E"
"DNL","DNL",".",".","1.17 (0.07, 20.72)",".","2.48 (1.10,  5.60)",".",".",".",".",".","."
"FGF19 analog","1.39 (0.47, 4.17)","FGF19 analog",".",".",".","1.79 (0.85,  3.77)",".",".",".",".",".","."
"FGF21 analog","0.89 (0.33, 2.39)","0.64 (0.25, 1.63)","FGF21 analog",".",".","2.82 (1.59,  5.01)",".",".",".",".",".","."
"FXR agonist","1.33 (0.57, 3.14)","0.96 (0.43, 2.14)","1.50 (0.78, 2.89)","FXR agonist",".","1.87 (1.37,  2.56)",".",".",".",".",".","."
"Incretins","1.17 (0.50, 2.71)","0.84 (0.38, 1.84)","1.31 (0.70, 2.47)","0.87 (0.58, 1.31)","Incretins","2.15 (1.66,  2.78)",".",".",".",".",".","."
"Placebo","2.50 (1.12, 5.59)","1.79 (0.85, 3.77)","2.82 (1.59, 5.01)","1.88 (1.37, 2.57)","2.15 (1.66, 2.78)","Placebo","0.56 (0.34,  0.92)","0.30 (0.15,  0.62)","0.52 (0.37,  0.73)","0.67 (0.40,  1.12)","0.43 (0.16,  1.16)","0.47 (0.24,  0.92)"
"PPAR agonist","1.40 (0.54, 3.61)","1.01 (0.41, 2.46)","1.58 (0.74, 3.38)","1.05 (0.59, 1.89)","1.20 (0.69, 2.11)","0.56 (0.34, 0.92)","PPAR agonist",".",".",".",".","."
"SGLT2 inhibitor","0.76 (0.26, 2.22)","0.54 (0.19, 1.53)","0.85 (0.34, 2.14)","0.57 (0.26, 1.24)","0.65 (0.30, 1.39)","0.30 (0.15, 0.62)","0.54 (0.22, 1.29)","SGLT2 inhibitor",".",".",".","."
"THR-beta agonist","1.31 (0.55, 3.14)","0.94 (0.42, 2.13)","1.48 (0.76, 2.88)","0.98 (0.62, 1.56)","1.12 (0.73, 1.72)","0.52 (0.37, 0.73)","0.93 (0.51, 1.71)","1.73 (0.78, 3.84)","THR-beta agonist",".",".","."
"TZDs","1.68 (0.65, 4.35)","1.21 (0.49, 2.96)","1.89 (0.88, 4.08)","1.26 (0.69, 2.29)","1.44 (0.82, 2.55)","0.67 (0.40, 1.12)","1.20 (0.59, 2.44)","2.22 (0.92, 5.37)","1.28 (0.70, 2.36)","TZDs",".","."
"TZDs + Vitamin E","1.17 (0.35, 3.90)","0.84 (0.26, 2.69)","1.32 (0.46, 3.82)","0.88 (0.34, 2.27)","1.00 (0.40, 2.55)","0.47 (0.19, 1.14)","0.84 (0.30, 2.32)","1.55 (0.49, 4.88)","0.89 (0.34, 2.32)","0.70 (0.25, 1.95)","TZDs + Vitamin E","0.94 (0.38,  2.37)"
"Vitamin E","1.18 (0.42, 3.35)","0.85 (0.31, 2.29)","1.33 (0.55, 3.20)","0.88 (0.42, 1.85)","1.01 (0.50, 2.06)","0.47 (0.24, 0.92)","0.84 (0.37, 1.93)","1.56 (0.59, 4.15)","0.90 (0.43, 1.90)","0.70 (0.30, 1.62)","1.01 (0.43, 2.38)","Vitamin E"
