"","DNL","FGF21 analog","FXR agonist","Incretins","Placebo","PPAR agonist","SGLT2 inhibitor","THR-beta agonist","TZDs + Vitamin E","Vitamin E"
"DNL","DNL",".",".",".","2.93 (0.97,  8.91)",".",".",".",".","."
"FGF21 analog","1.37 (0.38,  4.99)","FGF21 analog",".",".","2.14 (1.11,  4.16)",".",".",".",".","."
"FXR agonist","1.02 (0.29,  3.66)","0.75 (0.30,  1.86)","FXR agonist",".","2.87 (1.53,  5.37)",".",".",".",".","."
"Incretins","1.88 (0.58,  6.06)","1.37 (0.64,  2.93)","1.84 (0.89,  3.81)","Incretins","1.56 (1.08,  2.27)",".",".",".",".","."
"Placebo","2.93 (0.97,  8.91)","2.14 (1.11,  4.16)","2.87 (1.53,  5.37)","1.56 (1.08,  2.27)","Placebo","0.54 (0.22,  1.29)","0.11 (0.03,  0.41)","0.47 (0.30,  0.74)","0.43 (0.16,  1.16)","0.41 (0.15,  1.10)"
"PPAR agonist","1.58 (0.38,  6.50)","1.15 (0.38,  3.46)","1.54 (0.53,  4.53)","0.84 (0.32,  2.18)","0.54 (0.22,  1.29)","PPAR agonist",".",".",".","."
"SGLT2 inhibitor","0.31 (0.05,  1.79)","0.23 (0.05,  1.03)","0.30 (0.07,  1.35)","0.16 (0.04,  0.68)","0.11 (0.03,  0.41)","0.20 (0.04,  0.99)","SGLT2 inhibitor",".",".","."
"THR-beta agonist","1.39 (0.42,  4.59)","1.01 (0.45,  2.25)","1.35 (0.63,  2.93)","0.74 (0.41,  1.32)","0.47 (0.30,  0.74)","0.88 (0.33,  2.35)","4.48 (1.07, 18.77)","THR-beta agonist",".","."
"TZDs + Vitamin E","1.26 (0.29,  5.58)","0.92 (0.28,  3.03)","1.24 (0.38,  3.98)","0.67 (0.23,  1.93)","0.43 (0.16,  1.16)","0.80 (0.21,  3.00)","4.08 (0.76, 21.95)","0.91 (0.31,  2.70)","TZDs + Vitamin E","0.94 (0.38,  2.37)"
"Vitamin E","1.19 (0.27,  5.29)","0.87 (0.26,  2.88)","1.17 (0.36,  3.78)","0.64 (0.22,  1.84)","0.41 (0.15,  1.10)","0.76 (0.20,  2.84)","3.86 (0.71, 20.80)","0.86 (0.29,  2.56)","0.94 (0.38,  2.37)","Vitamin E"
