"","DNL","FGF19 analog","FGF21 analog","FXR agonist","Incretins","Placebo","PPAR agonist","SGLT2 inhibitor","THR-beta agonist","TZDs","TZDs + Vitamin E","Vitamin E"
"DNL","DNL",".",".","1.15 (0.06, 23.21)",".","2.68 (0.82,  8.76)",".",".",".",".",".","."
"FGF19 analog","0.79 (0.14,  4.32)","FGF19 analog",".",".",".","3.30 (0.93, 11.65)",".",".",".",".",".","."
"FGF21 analog","0.73 (0.17,  3.09)","0.93 (0.20,  4.33)","FGF21 analog",".",".","3.56 (1.47,  8.63)",".",".",".",".",".","."
"FXR agonist","1.48 (0.40,  5.43)","1.88 (0.44,  7.99)","2.03 (0.65,  6.31)","FXR agonist",".","1.75 (0.85,  3.59)",".",".",".",".",".","."
"Incretins","0.44 (0.12,  1.55)","0.56 (0.14,  2.20)","0.60 (0.21,  1.70)","0.30 (0.12,  0.72)","Incretins","5.92 (3.46, 10.15)",".",".",".",".",".","."
"Placebo","2.60 (0.83,  8.14)","3.30 (0.93, 11.65)","3.56 (1.47,  8.63)","1.76 (0.86,  3.58)","5.92 (3.46, 10.15)","Placebo","0.53 (0.30,  0.92)","0.29 (0.08,  1.07)","0.35 (0.16,  0.79)","0.43 (0.24,  0.75)","0.16 (0.04,  0.67)","0.59 (0.28,  1.25)"
"PPAR agonist","1.37 (0.38,  4.89)","1.74 (0.44,  6.92)","1.88 (0.66,  5.36)","0.93 (0.37,  2.30)","3.12 (1.43,  6.80)","0.53 (0.30,  0.92)","PPAR agonist",".",".",".",".","."
"SGLT2 inhibitor","0.74 (0.13,  4.26)","0.94 (0.15,  5.86)","1.02 (0.21,  5.00)","0.50 (0.11,  2.26)","1.69 (0.41,  7.05)","0.29 (0.08,  1.07)","0.54 (0.13,  2.28)","SGLT2 inhibitor",".",".",".","."
"THR-beta agonist","0.92 (0.23,  3.71)","1.17 (0.26,  5.21)","1.26 (0.38,  4.16)","0.62 (0.21,  1.82)","2.10 (0.80,  5.50)","0.35 (0.16,  0.79)","0.67 (0.25,  1.79)","1.24 (0.26,  5.82)","THR-beta agonist",".",".","."
"TZDs","1.13 (0.32,  4.02)","1.44 (0.36,  5.69)","1.55 (0.55,  4.40)","0.77 (0.31,  1.88)","2.58 (1.20,  5.56)","0.44 (0.25,  0.75)","0.83 (0.38,  1.81)","1.53 (0.37,  6.38)","1.23 (0.47,  3.24)","TZDs",".","1.57 (0.52,  4.70)"
"TZDs + Vitamin E","0.66 (0.12,  3.50)","0.83 (0.14,  4.84)","0.90 (0.20,  4.08)","0.44 (0.11,  1.83)","1.50 (0.39,  5.70)","0.25 (0.07,  0.86)","0.48 (0.12,  1.84)","0.88 (0.15,  5.36)","0.71 (0.17,  3.08)","0.58 (0.16,  2.13)","TZDs + Vitamin E","1.85 (0.51,  6.66)"
"Vitamin E","1.65 (0.43,  6.31)","2.09 (0.49,  8.88)","2.26 (0.73,  7.01)","1.11 (0.41,  3.04)","3.75 (1.54,  9.13)","0.63 (0.31,  1.28)","1.20 (0.49,  2.97)","2.22 (0.50,  9.94)","1.79 (0.62,  5.19)","1.45 (0.66,  3.22)","2.51 (0.77,  8.16)","Vitamin E"
