"","FGF19 analog","FGF21 analog","FXR agonist","Incretins","Placebo","PPAR agonist","SGLT2 inhibitor","THR-beta agonist","TZDs","TZDs + Vitamin E","Vitamin E"
"FGF19 analog","FGF19 analog",".",".",".","3.32 (1.56, 7.04)",".",".",".",".",".","."
"FGF21 analog","1.66 (0.48, 5.69)","FGF21 analog",".",".","2.00 (0.75, 5.31)",".",".",".",".",".","."
"FXR agonist","2.02 (0.85, 4.79)","1.22 (0.42, 3.53)","FXR agonist",".","1.64 (1.08, 2.50)",".",".",".",".",".","."
"Incretins","1.21 (0.53, 2.77)","0.73 (0.26, 2.05)","0.60 (0.35, 1.03)","Incretins","2.75 (1.93, 3.90)",".",".",".",".",".","."
"Placebo","3.32 (1.56, 7.04)","2.00 (0.75, 5.31)","1.64 (1.08, 2.50)","2.75 (1.93, 3.90)","Placebo","0.60 (0.37, 0.98)","0.34 (0.15, 0.77)","0.32 (0.20, 0.50)","0.44 (0.29, 0.66)","0.32 (0.11, 0.93)","0.65 (0.38, 1.11)"
"PPAR agonist","2.00 (0.81, 4.91)","1.20 (0.40, 3.59)","0.99 (0.52, 1.88)","1.65 (0.90, 3.03)","0.60 (0.37, 0.98)","PPAR agonist",".",".",".",".","."
"SGLT2 inhibitor","1.14 (0.38, 3.44)","0.69 (0.19, 2.44)","0.56 (0.23, 1.40)","0.94 (0.39, 2.28)","0.34 (0.15, 0.77)","0.57 (0.22, 1.47)","SGLT2 inhibitor",".",".",".","."
"THR-beta agonist","1.07 (0.44, 2.56)","0.64 (0.22, 1.88)","0.53 (0.28, 0.98)","0.88 (0.50, 1.56)","0.32 (0.20, 0.50)","0.53 (0.27, 1.04)","0.93 (0.37, 2.35)","THR-beta agonist",".",".","."
"TZDs","1.58 (0.67, 3.72)","0.95 (0.33, 2.74)","0.78 (0.43, 1.40)","1.31 (0.76, 2.24)","0.48 (0.32, 0.72)","0.79 (0.42, 1.50)","1.38 (0.56, 3.42)","1.48 (0.81, 2.72)","TZDs",".","0.79 (0.37, 1.71)"
"TZDs + Vitamin E","1.13 (0.34, 3.77)","0.68 (0.18, 2.64)","0.56 (0.20, 1.57)","0.94 (0.34, 2.56)","0.34 (0.13, 0.87)","0.57 (0.20, 1.64)","0.99 (0.29, 3.42)","1.06 (0.37, 3.01)","0.72 (0.26, 1.95)","TZDs + Vitamin E","1.64 (0.59, 4.56)"
"Vitamin E","1.97 (0.80, 4.86)","1.19 (0.40, 3.55)","0.97 (0.51, 1.87)","1.63 (0.88, 3.01)","0.59 (0.36, 0.98)","0.99 (0.49, 1.99)","1.72 (0.67, 4.46)","1.85 (0.94, 3.63)","1.25 (0.71, 2.20)","1.74 (0.69, 4.39)","Vitamin E"
