"","FGF19 analog","FGF21 analog","FXR agonist","Incretins","Placebo","PPAR agonist","SGLT2 inhibitor","THR-beta agonist","TZDs","TZDs + Vitamin E","Vitamin E"
"FGF19 analog","FGF19 analog",".",".",".","1.71 (0.80,  3.66)",".",".",".",".",".","."
"FGF21 analog","1.40 (0.44,  4.47)","FGF21 analog",".",".","1.21 (0.51,  2.90)",".",".",".",".",".","."
"FXR agonist","1.09 (0.44,  2.70)","0.78 (0.29,  2.11)","FXR agonist",".","1.56 (0.96,  2.53)",".",".",".",".",".","."
"Incretins","0.79 (0.33,  1.89)","0.56 (0.22,  1.48)","0.72 (0.38,  1.37)","Incretins","2.15 (1.42,  3.25)",".",".",".",".",".","."
"Placebo","1.71 (0.80,  3.66)","1.21 (0.51,  2.90)","1.56 (0.96,  2.53)","2.15 (1.42,  3.25)","Placebo","0.84 (0.49,  1.47)","0.45 (0.19,  1.07)","0.66 (0.38,  1.16)","0.42 (0.27,  0.65)","0.37 (0.12,  1.15)","0.78 (0.45,  1.35)"
"PPAR agonist","1.44 (0.56,  3.69)","1.03 (0.37,  2.87)","1.32 (0.63,  2.75)","1.82 (0.91,  3.62)","0.84 (0.49,  1.47)","PPAR agonist",".",".",".",".","."
"SGLT2 inhibitor","0.77 (0.24,  2.43)","0.55 (0.16,  1.87)","0.70 (0.26,  1.89)","0.97 (0.37,  2.53)","0.45 (0.19,  1.07)","0.53 (0.19,  1.49)","SGLT2 inhibitor",".",".",".","."
"THR-beta agonist","1.13 (0.44,  2.92)","0.81 (0.29,  2.27)","1.04 (0.49,  2.17)","1.43 (0.71,  2.86)","0.66 (0.38,  1.16)","0.79 (0.36,  1.73)","1.47 (0.53,  4.11)","THR-beta agonist",".",".","."
"TZDs","0.77 (0.32,  1.86)","0.55 (0.21,  1.46)","0.71 (0.37,  1.36)","0.98 (0.54,  1.78)","0.45 (0.29,  0.70)","0.54 (0.27,  1.08)","1.01 (0.38,  2.64)","0.68 (0.34,  1.38)","TZDs",".","1.22 (0.52,  2.84)"
"TZDs + Vitamin E","0.47 (0.13,  1.66)","0.34 (0.09,  1.27)","0.43 (0.14,  1.31)","0.59 (0.20,  1.76)","0.28 (0.10,  0.75)","0.33 (0.10,  1.03)","0.61 (0.16,  2.30)","0.42 (0.13,  1.31)","0.61 (0.21,  1.78)","TZDs + Vitamin E","3.69 (1.21, 11.20)"
"Vitamin E","1.30 (0.52,  3.27)","0.93 (0.34,  2.55)","1.19 (0.58,  2.42)","1.64 (0.84,  3.19)","0.76 (0.45,  1.28)","0.90 (0.42,  1.93)","1.69 (0.62,  4.62)","1.15 (0.53,  2.46)","1.68 (0.92,  3.08)","2.76 (1.01,  7.51)","Vitamin E"
