"","DNL","FGF19 analog","FGF21 analog","FXR agonist","Incretins","Placebo","PPAR agonist","SGLT2 inhibitor","THR-beta agonist","TZDs","TZDs + Vitamin E","Vitamin E"
"DNL","DNL",".",".","1.00 (0.21, 4.77)",".","1.95 (0.83, 4.57)",".",".",".",".",".","."
"FGF19 analog","1.15 (0.40, 3.31)","FGF19 analog",".",".",".","1.74 (0.89, 3.39)",".",".",".",".",".","."
"FGF21 analog","1.04 (0.41, 2.69)","0.90 (0.40, 2.06)","FGF21 analog",".",".","1.92 (1.19, 3.11)",".",".",".",".",".","."
"FXR agonist","1.25 (0.53, 2.99)","1.09 (0.50, 2.35)","1.20 (0.65, 2.22)","FXR agonist",".","1.57 (1.07, 2.30)",".",".",".",".",".","."
"Incretins","1.04 (0.42, 2.56)","0.90 (0.42, 1.95)","1.00 (0.54, 1.85)","0.83 (0.48, 1.43)","Incretins","1.93 (1.31, 2.84)",".",".",".",".",".","."
"Placebo","2.00 (0.89, 4.52)","1.74 (0.89, 3.39)","1.92 (1.19, 3.11)","1.60 (1.09, 2.34)","1.93 (1.31, 2.84)","Placebo","0.58 (0.30, 1.13)","0.30 (0.12, 0.75)","0.56 (0.32, 0.98)","0.59 (0.29, 1.19)","0.43 (0.14, 1.34)","0.47 (0.22, 1.02)"
"PPAR agonist","1.16 (0.41, 3.32)","1.01 (0.39, 2.58)","1.11 (0.49, 2.53)","0.93 (0.43, 1.99)","1.12 (0.52, 2.41)","0.58 (0.30, 1.13)","PPAR agonist",".",".",".",".","."
"SGLT2 inhibitor","0.61 (0.18, 2.05)","0.52 (0.17, 1.62)","0.58 (0.21, 1.62)","0.48 (0.18, 1.29)","0.58 (0.22, 1.56)","0.30 (0.12, 0.75)","0.52 (0.17, 1.60)","SGLT2 inhibitor",".",".",".","."
"THR-beta agonist","1.11 (0.41, 3.00)","0.97 (0.40, 2.32)","1.07 (0.51, 2.25)","0.89 (0.45, 1.76)","1.07 (0.54, 2.13)","0.56 (0.32, 0.98)","0.96 (0.40, 2.29)","1.84 (0.63, 5.37)","THR-beta agonist",".",".","."
"TZDs","1.18 (0.40, 3.45)","1.02 (0.39, 2.69)","1.13 (0.48, 2.64)","0.94 (0.42, 2.09)","1.13 (0.51, 2.53)","0.59 (0.29, 1.19)","1.01 (0.39, 2.66)","1.95 (0.62, 6.13)","1.06 (0.43, 2.60)","TZDs",".","."
"TZDs + Vitamin E","0.93 (0.25, 3.48)","0.81 (0.24, 2.77)","0.89 (0.29, 2.80)","0.74 (0.25, 2.24)","0.90 (0.30, 2.71)","0.47 (0.17, 1.31)","0.80 (0.24, 2.74)","1.54 (0.39, 6.11)","0.84 (0.26, 2.72)","0.79 (0.23, 2.76)","TZDs + Vitamin E","0.94 (0.32, 2.76)"
"Vitamin E","0.94 (0.31, 2.89)","0.82 (0.29, 2.27)","0.90 (0.36, 2.24)","0.75 (0.32, 1.77)","0.91 (0.38, 2.15)","0.47 (0.22, 1.02)","0.81 (0.29, 2.23)","1.55 (0.47, 5.12)","0.84 (0.32, 2.20)","0.80 (0.28, 2.26)","1.01 (0.37, 2.75)","Vitamin E"
