"","DNL","FGF19 analog","FGF21 analog","FXR agonist","Incretins","Placebo","PPAR agonist","SGLT2 inhibitor","THR-beta agonist","TZDs","TZDs + Vitamin E","Vitamin E"
"DNL","DNL",".",".","1.00 (0.22, 4.49)",".","2.00 (0.91, 4.38)",".",".",".",".",".","."
"FGF19 analog","1.04 (0.38, 2.86)","FGF19 analog",".",".",".","1.99 (1.02, 3.88)",".",".",".",".",".","."
"FGF21 analog","1.02 (0.41, 2.50)","0.97 (0.42, 2.23)","FGF21 analog",".",".","2.04 (1.25, 3.33)",".",".",".",".",".","."
"FXR agonist","1.19 (0.54, 2.66)","1.14 (0.54, 2.41)","1.17 (0.65, 2.12)","FXR agonist",".","1.71 (1.23, 2.39)",".",".",".",".",".","."
"Incretins","1.08 (0.47, 2.47)","1.04 (0.49, 2.20)","1.06 (0.58, 1.93)","0.91 (0.56, 1.46)","Incretins","1.92 (1.36, 2.70)",".",".",".",".",".","."
"Placebo","2.07 (0.98, 4.40)","1.99 (1.02, 3.88)","2.04 (1.25, 3.33)","1.74 (1.25, 2.42)","1.92 (1.36, 2.70)","Placebo","0.40 (0.22, 0.74)","0.30 (0.14, 0.67)","0.53 (0.33, 0.84)","0.62 (0.31, 1.24)","0.43 (0.15, 1.23)","0.47 (0.23, 0.96)"
"PPAR agonist","0.83 (0.31, 2.20)","0.80 (0.32, 1.98)","0.82 (0.37, 1.80)","0.70 (0.35, 1.40)","0.77 (0.38, 1.56)","0.40 (0.22, 0.74)","PPAR agonist",".",".",".",".","."
"SGLT2 inhibitor","0.63 (0.21, 1.88)","0.60 (0.21, 1.70)","0.62 (0.24, 1.57)","0.52 (0.22, 1.25)","0.58 (0.24, 1.38)","0.30 (0.14, 0.67)","0.75 (0.27, 2.07)","SGLT2 inhibitor",".",".",".","."
"THR-beta agonist","1.09 (0.45, 2.65)","1.04 (0.46, 2.37)","1.07 (0.54, 2.11)","0.91 (0.51, 1.62)","1.01 (0.56, 1.80)","0.53 (0.33, 0.84)","1.31 (0.60, 2.84)","1.74 (0.69, 4.40)","THR-beta agonist",".",".","."
"TZDs","1.28 (0.46, 3.57)","1.23 (0.47, 3.23)","1.26 (0.54, 2.95)","1.07 (0.50, 2.32)","1.18 (0.54, 2.57)","0.62 (0.31, 1.24)","1.54 (0.61, 3.90)","2.04 (0.71, 5.91)","1.18 (0.51, 2.73)","TZDs",".","."
"TZDs + Vitamin E","0.97 (0.29, 3.26)","0.93 (0.29, 2.97)","0.95 (0.33, 2.78)","0.81 (0.30, 2.23)","0.90 (0.33, 2.46)","0.47 (0.18, 1.21)","1.16 (0.37, 3.62)","1.55 (0.45, 5.37)","0.89 (0.31, 2.58)","0.76 (0.23, 2.47)","TZDs + Vitamin E","0.94 (0.35, 2.52)"
"Vitamin E","0.97 (0.35, 2.74)","0.93 (0.35, 2.48)","0.96 (0.40, 2.27)","0.82 (0.37, 1.79)","0.90 (0.41, 1.98)","0.47 (0.23, 0.96)","1.17 (0.46, 3.00)","1.56 (0.53, 4.54)","0.90 (0.38, 2.10)","0.76 (0.28, 2.06)","1.01 (0.40, 2.53)","Vitamin E"
