"","DNL","FGF19 analog","FGF21 analog","FXR agonist","Incretins","Placebo","PPAR agonist","SGLT2 inhibitor","THR-beta agonist","TZDs","TZDs + Vitamin E","Vitamin E"
"DNL","DNL",".",".","1.52 (0.10, 23.72)",".","2.72 (0.79,  9.33)",".",".",".",".",".","."
"FGF19 analog","0.71 (0.12,  4.17)","FGF19 analog",".",".",".","3.84 (1.01, 14.53)",".",".",".",".",".","."
"FGF21 analog","0.71 (0.18,  2.86)","1.01 (0.22,  4.64)","FGF21 analog",".",".","3.82 (1.80,  8.09)",".",".",".",".",".","."
"FXR agonist","1.50 (0.39,  5.71)","2.12 (0.46,  9.86)","2.11 (0.72,  6.18)","FXR agonist",".","1.82 (0.83,  3.96)",".",".",".",".",".","."
"Incretins","0.44 (0.12,  1.62)","0.62 (0.15,  2.65)","0.62 (0.24,  1.58)","0.29 (0.11,  0.76)","Incretins","6.14 (3.52, 10.72)",".",".",".",".",".","."
"Placebo","2.71 (0.84,  8.75)","3.84 (1.01, 14.53)","3.82 (1.80,  8.09)","1.81 (0.84,  3.90)","6.14 (3.52, 10.72)","Placebo","0.45 (0.25,  0.84)","0.29 (0.07,  1.15)","0.34 (0.14,  0.81)","0.40 (0.22,  0.74)","0.16 (0.03,  0.71)","0.59 (0.27,  1.30)"
"PPAR agonist","1.23 (0.33,  4.64)","1.74 (0.40,  7.57)","1.73 (0.66,  4.59)","0.82 (0.31,  2.21)","2.79 (1.21,  6.41)","0.45 (0.25,  0.84)","PPAR agonist",".",".",".",".","."
"SGLT2 inhibitor","0.78 (0.13,  4.77)","1.10 (0.16,  7.51)","1.09 (0.22,  5.29)","0.52 (0.11,  2.53)","1.75 (0.39,  7.84)","0.29 (0.07,  1.15)","0.63 (0.14,  2.87)","SGLT2 inhibitor",".",".",".","."
"THR-beta agonist","0.92 (0.21,  3.95)","1.30 (0.27,  6.37)","1.29 (0.41,  4.08)","0.61 (0.19,  1.96)","2.08 (0.74,  5.84)","0.34 (0.14,  0.81)","0.75 (0.26,  2.16)","1.19 (0.23,  6.10)","THR-beta agonist",".",".","."
"TZDs","1.11 (0.30,  4.13)","1.57 (0.37,  6.75)","1.56 (0.60,  4.07)","0.74 (0.28,  1.96)","2.51 (1.11,  5.68)","0.41 (0.23,  0.74)","0.90 (0.38,  2.12)","1.43 (0.32,  6.49)","1.21 (0.42,  3.45)","TZDs",".","1.57 (0.48,  5.09)"
"TZDs + Vitamin E","0.67 (0.12,  3.84)","0.95 (0.15,  6.07)","0.95 (0.21,  4.20)","0.45 (0.10,  2.01)","1.53 (0.38,  6.19)","0.25 (0.07,  0.90)","0.55 (0.13,  2.28)","0.87 (0.13,  5.77)","0.73 (0.16,  3.45)","0.61 (0.15,  2.40)","TZDs + Vitamin E","1.85 (0.48,  7.13)"
"Vitamin E","1.69 (0.42,  6.78)","2.39 (0.52, 11.00)","2.38 (0.82,  6.86)","1.13 (0.39,  3.29)","3.82 (1.50,  9.71)","0.62 (0.29,  1.31)","1.37 (0.52,  3.61)","2.18 (0.45, 10.55)","1.83 (0.58,  5.76)","1.52 (0.65,  3.56)","2.51 (0.72,  8.68)","Vitamin E"
