"","Aldafermin","Cilofexor","Dapagliflozin","Denifanstat","Efruxifermin","Elafibranor","Firsocostat","Lanifibranor","Liraglutide","MSDC-0602K","Obeticholic acid","Pegbelfermin","Pegozafermin","Pioglitazone","Placebo","PXL065","Resmetirom","Saroglitazar","Seladelpar","Semaglutide","Survodutide","Tirzepatide","Tropifexor","Vitamin E","Vitamin E + Pioglitazone"
"Aldafermin","Aldafermin",".",".",".",".",".",".",".",".",".",".",".",".",".","3.83 (1.19,  12.29)",".",".",".",".",".",".",".",".",".","."
"Cilofexor","1.94 (0.05,  73.46)","Cilofexor",".",".",".",".","0.66 (0.05,   8.80)",".",".",".",".",".",".",".","1.98 (0.06,  61.70)",".",".",".",".",".",".",".",".",".","."
"Dapagliflozin","1.10 (0.23,   5.25)","0.56 (0.02,  20.61)","Dapagliflozin",".",".",".",".",".",".",".",".",".",".",".","3.50 (1.23,   9.99)",".",".",".",".",".",".",".",".",".","."
"Denifanstat","1.43 (0.32,   6.49)","0.74 (0.02,  26.28)","1.31 (0.31,   5.43)","Denifanstat",".",".",".",".",".",".",".",".",".",".","2.68 (1.02,   7.01)",".",".",".",".",".",".",".",".",".","."
"Efruxifermin","0.80 (0.20,   3.10)","0.41 (0.01,  13.74)","0.73 (0.21,   2.56)","0.56 (0.17,   1.83)","Efruxifermin",".",".",".",".",".",".",".",".",".","4.82 (2.40,   9.68)",".",".",".",".",".",".",".",".",".","."
"Elafibranor","2.63 (0.76,   9.13)","1.36 (0.04,  43.52)","2.40 (0.77,   7.48)","1.84 (0.64,   5.29)","3.31 (1.45,   7.53)","Elafibranor",".",".",".",".",".",".",".",".","1.46 (0.94,   2.25)",".",".",".",".",".",".",".",".",".","."
"Firsocostat","1.28 (0.04,  40.37)","0.66 (0.05,   8.80)","1.17 (0.04,  35.51)","0.89 (0.03,  26.50)","1.61 (0.06,  44.62)","0.49 (0.02,  12.91)","Firsocostat",".",".",".",".",".",".",".","3.00 (0.12,  77.42)",".",".",".",".",".",".",".",".",".","."
"Lanifibranor","1.12 (0.28,   4.53)","0.58 (0.02,  19.65)","1.02 (0.28,   3.76)","0.78 (0.23,   2.68)","1.41 (0.50,   3.98)","0.43 (0.18,   1.03)","0.88 (0.03,  24.77)","Lanifibranor",".",".",".",".",".",".","3.42 (1.59,   7.35)",".",".",".",".",".",".",".",".",".","."
"Liraglutide","0.60 (0.07,   4.74)","0.31 (0.01,  14.37)","0.54 (0.07,   4.07)","0.42 (0.06,   2.98)","0.75 (0.12,   4.77)","0.23 (0.04,   1.33)","0.47 (0.01,  18.42)","0.53 (0.08,   3.48)","Liraglutide",".",".",".",".",".","6.43 (1.16,  35.73)",".",".",".",".",".",".",".",".",".","."
"MSDC-0602K","2.13 (0.51,   8.80)","1.10 (0.03,  37.66)","1.94 (0.52,   7.32)","1.49 (0.42,   5.24)","2.68 (0.92,   7.80)","0.81 (0.32,   2.03)","1.67 (0.06,  47.51)","1.90 (0.62,   5.79)","3.57 (0.54,  23.81)","MSDC-0602K",".",".",".",".","1.80 (0.80,   4.05)",".",".",".",".",".",".",".",".",".","."
"Obeticholic acid","2.33 (0.65,   8.30)","1.20 (0.04,  38.90)","2.13 (0.66,   6.82)","1.63 (0.55,   4.83)","2.93 (1.23,   6.94)","0.89 (0.45,   1.73)","1.82 (0.07,  48.92)","2.08 (0.83,   5.21)","3.90 (0.65,  23.36)","1.09 (0.42,   2.85)","Obeticholic acid",".",".",".","1.65 (0.99,   2.74)",".",".",".",".",".",".",".",".",".","."
"Pegbelfermin","5.03 (0.79,  32.06)","2.59 (0.06, 108.15)","4.60 (0.78,  27.27)","3.52 (0.62,  19.86)","6.33 (1.28,  31.29)","1.91 (0.43,   8.60)","3.94 (0.11, 137.82)","4.49 (0.88,  22.90)","8.44 (0.90,  79.19)","2.36 (0.45,  12.32)","2.16 (0.47,   9.94)","Pegbelfermin",".",".","0.76 (0.18,   3.21)",".",".",".",".",".",".",".",".",".","."
"Pegozafermin","0.19 (0.02,   2.07)","0.10 (0.00,   5.44)","0.17 (0.02,   1.79)","0.13 (0.01,   1.32)","0.23 (0.03,   2.16)","0.07 (0.01,   0.61)","0.15 (0.00,   7.02)","0.17 (0.02,   1.56)","0.31 (0.02,   4.73)","0.09 (0.01,   0.84)","0.08 (0.01,   0.70)","0.04 (0.00,   0.47)","Pegozafermin",".","20.53 (2.50, 168.42)",".",".",".",".",".",".",".",".",".","."
"Pioglitazone","1.14 (0.32,   4.12)","0.59 (0.02,  19.14)","1.04 (0.32,   3.39)","0.80 (0.26,   2.40)","1.43 (0.59,   3.46)","0.43 (0.22,   0.87)","0.89 (0.03,  24.08)","1.02 (0.40,   2.60)","1.91 (0.32,  11.55)","0.54 (0.20,   1.42)","0.49 (0.23,   1.03)","0.23 (0.05,   1.05)","6.11 (0.69,  53.63)","Pioglitazone","3.63 (2.06,   6.39)",".",".",".",".",".",".",".",".","1.57 (0.74,   3.31)","."
"Placebo","3.83 (1.19,  12.29)","1.98 (0.06,  61.70)","3.50 (1.23,   9.99)","2.68 (1.02,   7.01)","4.82 (2.40,   9.68)","1.46 (0.94,   2.25)","3.00 (0.12,  77.42)","3.42 (1.59,   7.35)","6.43 (1.16,  35.73)","1.80 (0.80,   4.05)","1.65 (0.99,   2.74)","0.76 (0.18,   3.21)","20.53 (2.50, 168.42)","3.36 (1.96,   5.77)","Placebo","0.98 (0.28,   3.50)","0.30 (0.18,   0.50)","0.18 (0.01,   4.96)","0.24 (0.05,   1.20)","0.28 (0.19,   0.42)","0.05 (0.02,   0.14)","0.07 (0.02,   0.22)","0.16 (0.01,   3.47)","0.58 (0.33,   1.03)","0.16 (0.05,   0.53)"
"PXL065","3.77 (0.67,  21.13)","1.94 (0.05,  76.18)","3.45 (0.66,  17.88)","2.64 (0.54,  12.97)","4.74 (1.11,  20.18)","1.43 (0.37,   5.49)","2.95 (0.09,  96.78)","3.36 (0.76,  14.81)","6.33 (0.75,  53.45)","1.77 (0.39,   7.99)","1.62 (0.41,   6.36)","0.75 (0.11,   5.10)","20.21 (1.73, 235.97)","3.31 (0.83,  13.15)","0.98 (0.28,   3.50)","PXL065",".",".",".",".",".",".",".",".","."
"Resmetirom","1.14 (0.32,   4.08)","0.59 (0.02,  19.12)","1.04 (0.33,   3.35)","0.80 (0.27,   2.38)","1.44 (0.61,   3.41)","0.43 (0.22,   0.85)","0.90 (0.03,  24.04)","1.02 (0.41,   2.56)","1.92 (0.32,  11.48)","0.54 (0.21,   1.40)","0.49 (0.24,   1.01)","0.23 (0.05,   1.04)","6.13 (0.70,  53.41)","1.00 (0.48,   2.11)","0.30 (0.18,   0.50)","0.30 (0.08,   1.19)","Resmetirom",".",".",".",".",".",".",".","."
"Saroglitazar","0.70 (0.02,  23.21)","0.36 (0.00,  42.56)","0.64 (0.02,  20.42)","0.49 (0.02,  15.24)","0.88 (0.03,  25.69)","0.27 (0.01,   7.43)","0.55 (0.01,  56.42)","0.63 (0.02,  18.49)","1.18 (0.03,  48.48)","0.33 (0.01,   9.84)","0.30 (0.01,   8.49)","0.14 (0.00,   5.09)","3.77 (0.08, 188.17)","0.62 (0.02,  17.42)","0.18 (0.01,   4.96)","0.19 (0.01,   6.38)","0.62 (0.02,  17.27)","Saroglitazar",".",".",".",".",".",".","."
"Seladelpar","0.90 (0.12,   6.69)","0.47 (0.01,  20.98)","0.83 (0.12,   5.72)","0.63 (0.10,   4.18)","1.14 (0.19,   6.67)","0.34 (0.06,   1.85)","0.71 (0.02,  26.83)","0.81 (0.13,   4.87)","1.52 (0.14,  16.12)","0.43 (0.07,   2.61)","0.39 (0.07,   2.13)","0.18 (0.02,   1.57)","4.85 (0.34,  69.24)","0.79 (0.14,   4.40)","0.24 (0.05,   1.20)","0.24 (0.03,   1.89)","0.79 (0.14,   4.35)","1.29 (0.03,  50.68)","Seladelpar",".",".",".",".",".","."
