"","DNL","FGF19 analog","FGF21 analog","FXR agonist","Incretins","Placebo","PPAR agonist","SGLT2 inhibitor","THR-beta agonist","TZDs","TZDs + Vitamin E","Vitamin E"
"DNL","DNL",".",".","1.19 (0.36, 3.88)",".","2.03 (0.57, 7.19)",".",".",".",".",".","."
"FGF19 analog","0.57 (0.16, 2.07)","FGF19 analog",".",".",".","3.48 (1.65, 7.30)",".",".",".",".",".","."
"FGF21 analog","1.02 (0.27, 3.84)","1.79 (0.60, 5.36)","FGF21 analog",".",".","1.94 (0.87, 4.32)",".",".",".",".",".","."
"FXR agonist","1.21 (0.42, 3.47)","2.14 (0.94, 4.84)","1.19 (0.50, 2.85)","FXR agonist",".","1.63 (1.15, 2.30)",".",".",".",".",".","."
"Incretins","0.74 (0.25, 2.22)","1.30 (0.59, 2.90)","0.73 (0.31, 1.71)","0.61 (0.39, 0.96)","Incretins","2.67 (1.99, 3.57)",".",".",".",".",".","."
"Placebo","1.97 (0.69, 5.68)","3.48 (1.65, 7.30)","1.94 (0.87, 4.32)","1.63 (1.15, 2.30)","2.67 (1.99, 3.57)","Placebo","0.60 (0.38, 0.94)","0.34 (0.16, 0.73)","0.31 (0.21, 0.45)","0.44 (0.29, 0.65)","0.32 (0.11, 0.89)","0.65 (0.39, 1.07)"
"PPAR agonist","1.19 (0.38, 3.73)","2.09 (0.88, 4.96)","1.16 (0.46, 2.91)","0.98 (0.56, 1.71)","1.60 (0.94, 2.73)","0.60 (0.38, 0.94)","PPAR agonist",".",".",".",".","."
"SGLT2 inhibitor","0.68 (0.19, 2.48)","1.20 (0.42, 3.43)","0.67 (0.22, 2.00)","0.56 (0.25, 1.28)","0.92 (0.41, 2.05)","0.34 (0.16, 0.73)","0.57 (0.24, 1.37)","SGLT2 inhibitor",".",".",".","."
"THR-beta agonist","0.61 (0.20, 1.86)","1.07 (0.46, 2.45)","0.59 (0.24, 1.44)","0.50 (0.30, 0.83)","0.82 (0.51, 1.32)","0.31 (0.21, 0.45)","0.51 (0.29, 0.91)","0.89 (0.39, 2.06)","THR-beta agonist",".",".","."
"TZDs","0.95 (0.31, 2.92)","1.67 (0.72, 3.85)","0.93 (0.38, 2.26)","0.78 (0.46, 1.31)","1.28 (0.79, 2.08)","0.48 (0.33, 0.71)","0.80 (0.44, 1.44)","1.39 (0.60, 3.24)","1.56 (0.91, 2.68)","TZDs",".","0.79 (0.39, 1.61)"
"TZDs + Vitamin E","0.67 (0.17, 2.68)","1.18 (0.37, 3.78)","0.66 (0.20, 2.19)","0.55 (0.21, 1.45)","0.90 (0.35, 2.33)","0.34 (0.14, 0.83)","0.56 (0.21, 1.54)","0.99 (0.31, 3.18)","1.11 (0.42, 2.93)","0.71 (0.27, 1.84)","TZDs + Vitamin E","1.64 (0.62, 4.36)"
"Vitamin E","1.16 (0.36, 3.68)","2.04 (0.84, 4.91)","1.13 (0.45, 2.88)","0.95 (0.53, 1.71)","1.56 (0.90, 2.72)","0.59 (0.37, 0.94)","0.98 (0.51, 1.87)","1.70 (0.70, 4.13)","1.91 (1.05, 3.49)","1.22 (0.72, 2.08)","1.73 (0.71, 4.19)","Vitamin E"
