"","DNL","FGF19 analog","FGF21 analog","FXR agonist","Incretins","Placebo","PPAR agonist","SGLT2 inhibitor","THR-beta agonist","TZDs","TZDs + Vitamin E","Vitamin E"
"DNL","DNL",".",".","1.18 (0.35, 3.95)",".","1.70 (0.46, 6.22)",".",".",".",".",".","."
"FGF19 analog","0.47 (0.12, 1.88)","FGF19 analog",".",".",".","4.06 (1.74, 9.45)",".",".",".",".",".","."
"FGF21 analog","1.02 (0.26, 4.07)","2.15 (0.65, 7.14)","FGF21 analog",".",".","1.89 (0.81, 4.42)",".",".",".",".",".","."
"FXR agonist","1.07 (0.36, 3.15)","2.26 (0.88, 5.81)","1.05 (0.40, 2.72)","FXR agonist",".","1.80 (1.18, 2.75)",".",".",".",".",".","."
"Incretins","0.67 (0.21, 2.12)","1.41 (0.56, 3.56)","0.66 (0.26, 1.66)","0.63 (0.36, 1.10)","Incretins","2.87 (1.98, 4.16)",".",".",".",".",".","."
"Placebo","1.92 (0.65, 5.72)","4.06 (1.74, 9.45)","1.89 (0.81, 4.42)","1.80 (1.18, 2.75)","2.87 (1.98, 4.16)","Placebo","0.48 (0.27, 0.84)","0.34 (0.15, 0.78)","0.30 (0.18, 0.49)","0.41 (0.27, 0.63)","0.32 (0.11, 0.94)","0.66 (0.38, 1.13)"
"PPAR agonist","0.92 (0.27, 3.15)","1.95 (0.71, 5.38)","0.91 (0.33, 2.51)","0.86 (0.43, 1.75)","1.38 (0.70, 2.70)","0.48 (0.27, 0.84)","PPAR agonist",".",".",".",".","."
"SGLT2 inhibitor","0.66 (0.17, 2.59)","1.40 (0.43, 4.54)","0.65 (0.20, 2.12)","0.62 (0.24, 1.56)","0.99 (0.40, 2.43)","0.34 (0.15, 0.78)","0.72 (0.26, 1.94)","SGLT2 inhibitor",".",".",".","."
"THR-beta agonist","0.58 (0.17, 1.90)","1.21 (0.46, 3.22)","0.56 (0.21, 1.50)","0.54 (0.28, 1.03)","0.86 (0.47, 1.58)","0.30 (0.18, 0.49)","0.62 (0.30, 1.31)","0.87 (0.33, 2.26)","THR-beta agonist",".",".","."
"TZDs","0.87 (0.27, 2.79)","1.83 (0.71, 4.70)","0.85 (0.33, 2.20)","0.81 (0.45, 1.47)","1.29 (0.74, 2.27)","0.45 (0.30, 0.69)","0.94 (0.46, 1.89)","1.31 (0.52, 3.30)","1.51 (0.79, 2.87)","TZDs",".","0.79 (0.36, 1.74)"
"TZDs + Vitamin E","0.65 (0.15, 2.77)","1.38 (0.39, 4.92)","0.64 (0.18, 2.29)","0.61 (0.21, 1.73)","0.97 (0.35, 2.70)","0.34 (0.13, 0.88)","0.71 (0.23, 2.13)","0.99 (0.28, 3.47)","1.13 (0.39, 3.30)","0.75 (0.27, 2.08)","TZDs + Vitamin E","1.64 (0.58, 4.62)"
"Vitamin E","1.13 (0.34, 3.76)","2.38 (0.89, 6.39)","1.11 (0.41, 2.98)","1.05 (0.54, 2.05)","1.68 (0.90, 3.16)","0.59 (0.35, 0.98)","1.22 (0.57, 2.61)","1.70 (0.65, 4.49)","1.96 (0.97, 3.97)","1.30 (0.73, 2.33)","1.73 (0.68, 4.42)","Vitamin E"
