"","Aldafermin","Cilofexor","Dapagliflozin","Efruxifermin","Elafibranor","Firsocostat","Lanifibranor","Liraglutide","Obeticholic acid","Pegbelfermin","Pioglitazone","Placebo","PXL065","Resmetirom","Rosiglitazone","Semaglutide","Tirzepatide","Vitamin E","Vitamin E + Pioglitazone"
"Aldafermin","Aldafermin",".",".",".",".",".",".",".",".",".",".","4.09 (1.67, 10.00)",".",".",".",".",".",".","."
"Cilofexor","2.83 (0.54, 14.74)","Cilofexor",".",".",".","0.85 (0.24,  3.05)",".",".",".",".",".","1.44 (0.36,  5.77)",".",".",".",".",".",".","."
"Dapagliflozin","1.41 (0.39,  5.08)","0.50 (0.09,  2.62)","Dapagliflozin",".",".",".",".",".",".",".",".","2.91 (1.16,  7.31)",".",".",".",".",".",".","."
"Efruxifermin","2.27 (0.06, 86.35)","0.80 (0.02, 35.44)","1.62 (0.04, 61.87)","Efruxifermin",".",".",".",".",".",".",".","1.80 (0.05, 61.23)",".",".",".",".",".",".","."
"Elafibranor","2.96 (0.83, 10.55)","1.05 (0.20,  5.46)","2.11 (0.58,  7.65)","1.30 (0.03, 49.69)","Elafibranor",".",".",".",".",".",".","1.38 (0.56,  3.40)",".",".",".",".",".",".","."
"Firsocostat","2.40 (0.47, 12.27)","0.85 (0.24,  3.05)","1.71 (0.33,  8.86)","1.06 (0.02, 46.42)","0.81 (0.16,  4.16)","Firsocostat",".",".",".",".",".","1.70 (0.44,  6.64)",".",".",".",".",".",".","."
"Lanifibranor","1.32 (0.37,  4.66)","0.46 (0.09,  2.42)","0.94 (0.26,  3.38)","0.58 (0.02, 22.05)","0.44 (0.13,  1.58)","0.55 (0.11,  2.79)","Lanifibranor",".",".",".",".","3.10 (1.27,  7.57)",".",".",".",".",".",".","."
"Liraglutide","1.23 (0.24,  6.30)","0.43 (0.06,  3.04)","0.87 (0.17,  4.55)","0.54 (0.01, 23.75)","0.41 (0.08,  2.14)","0.51 (0.07,  3.52)","0.93 (0.18,  4.78)","Liraglutide",".",".",".","3.33 (0.85, 13.13)",".",".",".",".",".",".","."
"Obeticholic acid","2.21 (0.78,  6.28)","0.78 (0.18,  3.45)","1.57 (0.54,  4.58)","0.97 (0.03, 34.47)","0.75 (0.26,  2.13)","0.92 (0.21,  3.98)","1.68 (0.59,  4.76)","1.80 (0.41,  7.86)","Obeticholic acid",".",".","1.85 (1.08,  3.18)",".",".",".",".",".",".","."
"Pegbelfermin","2.17 (0.59,  7.95)","0.77 (0.14,  4.09)","1.54 (0.41,  5.76)","0.96 (0.02, 36.79)","0.73 (0.20,  2.70)","0.90 (0.17,  4.73)","1.65 (0.45,  6.02)","1.77 (0.34,  9.33)","0.98 (0.33,  2.91)","Pegbelfermin",".","1.88 (0.74,  4.82)",".",".",".",".",".",".","."
"Pioglitazone","1.66 (0.59,  4.68)","0.59 (0.13,  2.58)","1.18 (0.41,  3.41)","0.73 (0.02, 25.89)","0.56 (0.20,  1.59)","0.69 (0.16,  2.97)","1.26 (0.45,  3.55)","1.36 (0.31,  5.88)","0.75 (0.36,  1.60)","0.77 (0.26,  2.24)","Pioglitazone","2.77 (1.62,  4.74)",".",".",".",".",".","0.79 (0.33,  1.93)","."
