"","DNL","FGF19 analog","FGF21 analog","FXR agonist","Incretins","Placebo","PPAR agonist","SGLT2 inhibitor","THR-beta agonist","TZDs","TZDs + Vitamin E","Vitamin E"
"DNL","DNL",".",".","1.29 (0.42,  3.96)",".","1.52 (0.50,  4.59)",".",".",".",".",".","."
"FGF19 analog","1.01 (0.29, 3.46)","FGF19 analog",".",".",".","1.69 (0.80,  3.57)",".",".",".",".",".","."
"FGF21 analog","1.29 (0.38, 4.43)","1.28 (0.45, 3.68)","FGF21 analog",".",".","1.32 (0.63,  2.78)",".",".",".",".",".","."
"FXR agonist","1.15 (0.43, 3.07)","1.14 (0.48, 2.69)","0.89 (0.38, 2.09)","FXR agonist",".","1.49 (0.97,  2.28)",".",".",".",".",".","."
"Incretins","0.84 (0.29, 2.40)","0.83 (0.36, 1.92)","0.65 (0.28, 1.50)","0.73 (0.42, 1.29)","Incretins","2.03 (1.40,  2.96)",".",".",".",".",".","."
"Placebo","1.71 (0.64, 4.55)","1.69 (0.80, 3.57)","1.32 (0.63, 2.78)","1.49 (0.97, 2.28)","2.03 (1.40, 2.96)","Placebo","0.84 (0.50,  1.44)","0.45 (0.20,  1.04)","0.67 (0.40,  1.14)","0.42 (0.27,  0.65)","0.37 (0.12,  1.12)","0.78 (0.46,  1.32)"
"PPAR agonist","1.44 (0.47, 4.40)","1.43 (0.57, 3.57)","1.12 (0.45, 2.79)","1.26 (0.64, 2.48)","1.72 (0.90, 3.29)","0.84 (0.50, 1.44)","PPAR agonist",".",".",".",".","."
"SGLT2 inhibitor","0.77 (0.21, 2.79)","0.77 (0.25, 2.34)","0.60 (0.20, 1.83)","0.67 (0.26, 1.71)","0.92 (0.37, 2.29)","0.45 (0.20, 1.04)","0.53 (0.20, 1.44)","SGLT2 inhibitor",".",".",".","."
"THR-beta agonist","1.15 (0.38, 3.51)","1.14 (0.46, 2.85)","0.89 (0.36, 2.22)","1.00 (0.51, 1.98)","1.37 (0.72, 2.62)","0.67 (0.40, 1.14)","0.80 (0.38, 1.69)","1.49 (0.56, 4.01)","THR-beta agonist",".",".","."
"TZDs","0.78 (0.27, 2.26)","0.77 (0.33, 1.82)","0.60 (0.25, 1.41)","0.68 (0.37, 1.23)","0.92 (0.53, 1.63)","0.45 (0.30, 0.69)","0.54 (0.27, 1.06)","1.01 (0.39, 2.56)","0.67 (0.34, 1.32)","TZDs",".","1.22 (0.54,  2.76)"
"TZDs + Vitamin E","0.47 (0.12, 1.89)","0.47 (0.14, 1.61)","0.36 (0.11, 1.25)","0.41 (0.14, 1.20)","0.56 (0.20, 1.61)","0.28 (0.10, 0.74)","0.33 (0.11, 1.00)","0.61 (0.17, 2.22)","0.41 (0.13, 1.25)","0.61 (0.21, 1.73)","TZDs + Vitamin E","3.69 (1.24, 10.97)"
"Vitamin E","1.30 (0.43, 3.91)","1.29 (0.52, 3.17)","1.00 (0.41, 2.47)","1.13 (0.58, 2.19)","1.54 (0.82, 2.90)","0.76 (0.46, 1.26)","0.90 (0.43, 1.87)","1.68 (0.63, 4.46)","1.12 (0.54, 2.34)","1.67 (0.93, 3.01)","2.75 (1.03, 7.35)","Vitamin E"
