"","DNL","FGF19 analog","FGF21 analog","FXR agonist","Incretins","Placebo","PPAR agonist","SGLT2 inhibitor","THR-beta agonist","TZDs","TZDs + Vitamin E","Vitamin E"
"DNL","DNL",".",".","1.27 (0.40,  4.08)",".","1.23 (0.38,  3.94)",".",".",".",".",".","."
"FGF19 analog","0.69 (0.18,  2.69)","FGF19 analog",".",".",".","2.21 (0.93,  5.27)",".",".",".",".",".","."
"FGF21 analog","1.09 (0.29,  4.08)","1.56 (0.47,  5.16)","FGF21 analog",".",".","1.42 (0.62,  3.22)",".",".",".",".",".","."
"FXR agonist","1.01 (0.36,  2.86)","1.46 (0.53,  3.99)","0.93 (0.35,  2.46)","FXR agonist",".","1.52 (0.91,  2.53)",".",".",".",".",".","."
"Incretins","0.82 (0.27,  2.54)","1.18 (0.45,  3.14)","0.76 (0.30,  1.93)","0.81 (0.41,  1.60)","Incretins","1.87 (1.20,  2.93)",".",".",".",".",".","."
"Placebo","1.54 (0.54,  4.34)","2.21 (0.93,  5.27)","1.42 (0.62,  3.22)","1.52 (0.91,  2.53)","1.87 (1.20,  2.93)","Placebo","1.16 (0.61,  2.21)","0.45 (0.18,  1.16)","0.45 (0.23,  0.86)","0.38 (0.24,  0.62)","0.37 (0.11,  1.22)","0.79 (0.44,  1.42)"
"PPAR agonist","1.78 (0.53,  6.04)","2.57 (0.87,  7.55)","1.64 (0.58,  4.66)","1.76 (0.77,  4.00)","2.17 (0.99,  4.75)","1.16 (0.61,  2.21)","PPAR agonist",".",".",".",".","."
"SGLT2 inhibitor","0.69 (0.17,  2.82)","1.00 (0.28,  3.59)","0.64 (0.18,  2.23)","0.68 (0.23,  2.00)","0.85 (0.30,  2.40)","0.45 (0.18,  1.16)","0.39 (0.12,  1.22)","SGLT2 inhibitor",".",".",".","."
"THR-beta agonist","0.69 (0.20,  2.34)","0.99 (0.34,  2.93)","0.64 (0.22,  1.81)","0.68 (0.30,  1.55)","0.84 (0.38,  1.85)","0.45 (0.23,  0.86)","0.39 (0.16,  0.96)","0.99 (0.32,  3.12)","THR-beta agonist",".",".","."
"TZDs","0.64 (0.20,  1.99)","0.92 (0.34,  2.45)","0.59 (0.23,  1.51)","0.63 (0.31,  1.25)","0.77 (0.40,  1.48)","0.41 (0.26,  0.66)","0.36 (0.16,  0.79)","0.92 (0.32,  2.62)","0.92 (0.41,  2.05)","TZDs",".","1.22 (0.48,  3.08)"
"TZDs + Vitamin E","0.42 (0.10,  1.86)","0.61 (0.15,  2.39)","0.39 (0.10,  1.49)","0.42 (0.13,  1.35)","0.51 (0.16,  1.63)","0.27 (0.10,  0.79)","0.24 (0.07,  0.82)","0.61 (0.15,  2.51)","0.61 (0.18,  2.12)","0.66 (0.21,  2.07)","TZDs + Vitamin E","3.69 (1.14, 11.92)"
"Vitamin E","1.16 (0.36,  3.77)","1.67 (0.59,  4.69)","1.07 (0.39,  2.89)","1.14 (0.54,  2.44)","1.41 (0.69,  2.90)","0.75 (0.43,  1.32)","0.65 (0.28,  1.53)","1.67 (0.56,  5.00)","1.68 (0.71,  3.97)","1.82 (0.95,  3.52)","2.74 (0.95,  7.90)","Vitamin E"
