"","DNL","FGF19 analog","FGF21 analog","FXR agonist","Incretins","Placebo","PPAR agonist","SGLT2 inhibitor","THR-beta agonist","TZDs","TZDs + Vitamin E","Vitamin E"
"DNL","DNL",".",".","5.93 (1.03, 34.23)",".","6.55 (1.14, 37.64)",".",".",".",".",".","."
"FGF19 analog","1.63 (0.32,  8.40)","FGF19 analog",".",".",".","4.74 (2.07, 10.83)",".",".",".",".",".","."
"FGF21 analog","2.22 (0.35, 13.93)","1.36 (0.33,  5.70)","FGF21 analog",".",".","3.48 (1.08, 11.17)",".",".",".",".",".","."
"FXR agonist","5.02 (1.22, 20.73)","3.08 (1.16,  8.22)","2.26 (0.63,  8.14)","FXR agonist",".","1.54 (0.91,  2.61)",".",".",".",".",".","."
"Incretins","2.19 (0.50,  9.63)","1.35 (0.53,  3.41)","0.99 (0.28,  3.42)","0.44 (0.22,  0.86)","Incretins","3.52 (2.30,  5.38)",".",".",".",".",".","."
"Placebo","7.72 (1.87, 31.84)","4.74 (2.07, 10.83)","3.48 (1.08, 11.17)","1.54 (0.91,  2.61)","3.52 (2.30,  5.38)","Placebo","0.41 (0.22,  0.77)","0.46 (0.18,  1.16)","0.30 (0.17,  0.55)","0.25 (0.16,  0.41)","0.14 (0.04,  0.53)","0.46 (0.26,  0.83)"
"PPAR agonist","3.14 (0.66, 14.86)","1.93 (0.68,  5.48)","1.41 (0.37,  5.35)","0.63 (0.27,  1.43)","1.43 (0.67,  3.08)","0.41 (0.22,  0.77)","PPAR agonist",".",".",".",".","."
"SGLT2 inhibitor","3.56 (0.66, 19.31)","2.19 (0.63,  7.54)","1.60 (0.36,  7.10)","0.71 (0.25,  2.05)","1.63 (0.59,  4.48)","0.46 (0.18,  1.16)","1.13 (0.37,  3.48)","SGLT2 inhibitor",".",".",".","."
"THR-beta agonist","2.35 (0.51, 10.96)","1.44 (0.52,  4.01)","1.06 (0.29,  3.93)","0.47 (0.21,  1.04)","1.07 (0.52,  2.24)","0.30 (0.17,  0.55)","0.75 (0.31,  1.80)","0.66 (0.22,  1.98)","THR-beta agonist",".",".","."
"TZDs","2.01 (0.45,  8.94)","1.23 (0.48,  3.19)","0.90 (0.26,  3.18)","0.40 (0.20,  0.81)","0.92 (0.48,  1.73)","0.26 (0.16,  0.42)","0.64 (0.29,  1.41)","0.56 (0.20,  1.59)","0.85 (0.40,  1.83)","TZDs",".","1.88 (0.74,  4.76)"
"TZDs + Vitamin E","1.11 (0.17,  7.25)","0.68 (0.15,  3.00)","0.50 (0.09,  2.73)","0.22 (0.06,  0.84)","0.51 (0.14,  1.86)","0.14 (0.04,  0.49)","0.35 (0.09,  1.41)","0.31 (0.07,  1.45)","0.47 (0.12,  1.85)","0.55 (0.15,  2.03)","TZDs + Vitamin E","3.20 (0.84, 12.18)"
"Vitamin E","3.69 (0.81, 16.95)","2.27 (0.84,  6.15)","1.66 (0.46,  6.07)","0.74 (0.34,  1.59)","1.68 (0.83,  3.40)","0.48 (0.27,  0.84)","1.18 (0.50,  2.74)","1.04 (0.35,  3.05)","1.57 (0.69,  3.56)","1.84 (0.95,  3.55)","3.33 (0.97, 11.43)","Vitamin E"
