"","DNL","FGF19 analog","FGF21 analog","FXR agonist","Incretins","Placebo","PPAR agonist","SGLT2 inhibitor","THR-beta agonist","TZDs","TZDs + Vitamin E","Vitamin E"
"DNL","DNL",".",".","5.52 (0.86, 35.19)",".","5.37 (0.84, 34.29)",".",".",".",".",".","."
"FGF19 analog","0.79 (0.13,  5.03)","FGF19 analog",".",".",".","8.56 (3.03, 24.17)",".",".",".",".",".","."
"FGF21 analog","1.81 (0.24, 13.73)","2.28 (0.42, 12.33)","FGF21 analog",".",".","3.75 (0.99, 14.16)",".",".",".",".",".","."
"FXR agonist","4.36 (0.95, 20.04)","5.48 (1.57, 19.10)","2.40 (0.54, 10.74)","FXR agonist",".","1.56 (0.78,  3.12)",".",".",".",".",".","."
"Incretins","1.79 (0.35,  9.05)","2.25 (0.69,  7.28)","0.98 (0.23,  4.15)","0.41 (0.17,  0.99)","Incretins","3.81 (2.20,  6.60)",".",".",".",".",".","."
"Placebo","6.80 (1.48, 31.29)","8.56 (3.03, 24.17)","3.75 (0.99, 14.16)","1.56 (0.78,  3.12)","3.81 (2.20,  6.60)","Placebo","0.53 (0.23,  1.21)","0.46 (0.15,  1.44)","0.29 (0.13,  0.64)","0.26 (0.15,  0.46)","0.14 (0.03,  0.61)","0.46 (0.23,  0.94)"
"PPAR agonist","3.62 (0.64, 20.47)","4.55 (1.21, 17.11)","1.99 (0.42,  9.51)","0.83 (0.28,  2.43)","2.03 (0.75,  5.44)","0.53 (0.23,  1.21)","PPAR agonist",".",".",".",".","."
"SGLT2 inhibitor","3.14 (0.47, 21.05)","3.95 (0.85, 18.42)","1.73 (0.30,  9.94)","0.72 (0.19,  2.73)","1.76 (0.50,  6.21)","0.46 (0.15,  1.44)","0.87 (0.21,  3.53)","SGLT2 inhibitor",".",".",".","."
"THR-beta agonist","1.99 (0.36, 11.10)","2.51 (0.68,  9.23)","1.10 (0.23,  5.15)","0.46 (0.16,  1.31)","1.12 (0.43,  2.92)","0.29 (0.13,  0.64)","0.55 (0.18,  1.72)","0.63 (0.16,  2.53)","THR-beta agonist",".",".","."
"TZDs","1.82 (0.36,  9.21)","2.29 (0.71,  7.41)","1.00 (0.24,  4.22)","0.42 (0.17,  1.01)","1.02 (0.47,  2.22)","0.27 (0.15,  0.46)","0.50 (0.19,  1.35)","0.58 (0.16,  2.05)","0.91 (0.35,  2.39)","TZDs",".","1.88 (0.60,  5.90)"
"TZDs + Vitamin E","0.98 (0.13,  7.64)","1.23 (0.22,  6.90)","0.54 (0.08,  3.65)","0.22 (0.05,  1.05)","0.55 (0.12,  2.41)","0.14 (0.04,  0.57)","0.27 (0.05,  1.34)","0.31 (0.05,  1.86)","0.49 (0.10,  2.40)","0.54 (0.13,  2.32)","TZDs + Vitamin E","3.20 (0.72, 14.25)"
"Vitamin E","3.28 (0.62, 17.37)","4.12 (1.20, 14.21)","1.81 (0.41,  8.01)","0.75 (0.29,  1.98)","1.83 (0.77,  4.37)","0.48 (0.25,  0.94)","0.91 (0.31,  2.62)","1.04 (0.28,  3.91)","1.64 (0.58,  4.63)","1.80 (0.82,  3.96)","3.34 (0.85, 13.21)","Vitamin E"
