"","Aldafermin","Cilofexor","Dapagliflozin","Elafibranor","Firsocostat","Lanifibranor","Liraglutide","Obeticholic acid","Pegbelfermin","Pioglitazone","Placebo","PXL065","Resmetirom","Rosiglitazone","Semaglutide","Tirzepatide","Vitamin E","Vitamin E + Pioglitazone"
"Aldafermin","Aldafermin",".",".",".",".",".",".",".",".",".","8.52 (3.38, 21.45)",".",".",".",".",".",".","."
"Cilofexor","8.75 (0.87, 87.78)","Cilofexor",".",".","0.18 (0.03,  1.02)",".",".",".",".",".","0.97 (0.12,  8.05)",".",".",".",".",".",".","."
"Dapagliflozin","3.93 (1.07, 14.49)","0.45 (0.04,  4.50)","Dapagliflozin",".",".",".",".",".",".",".","2.17 (0.86,  5.44)",".",".",".",".",".",".","."
"Elafibranor","13.64 (3.57, 52.17)","1.56 (0.15, 15.96)","3.47 (0.91, 13.25)","Elafibranor",".",".",".",".",".",".","0.62 (0.24,  1.65)",".",".",".",".",".",".","."
"Firsocostat","1.59 (0.22, 11.27)","0.18 (0.03,  1.02)","0.40 (0.06,  2.86)","0.12 (0.02,  0.85)","Firsocostat",".",".",".",".",".","5.37 (0.95, 30.30)",".",".",".",".",".",".","."
"Lanifibranor","1.60 (0.43,  5.95)","0.18 (0.02,  1.84)","0.41 (0.11,  1.51)","0.12 (0.03,  0.45)","1.01 (0.14,  7.20)","Lanifibranor",".",".",".",".","5.32 (2.10, 13.51)",".",".",".",".",".",".","."
"Liraglutide","1.49 (0.25,  8.79)","0.17 (0.01,  2.29)","0.38 (0.06,  2.23)","0.11 (0.02,  0.66)","0.94 (0.09,  9.37)","0.93 (0.16,  5.51)","Liraglutide",".",".",".","5.70 (1.26, 25.84)",".",".",".",".",".",".","."
"Obeticholic acid","5.34 (1.82, 15.66)","0.61 (0.07,  5.42)","1.36 (0.46,  3.97)","0.39 (0.13,  1.20)","3.36 (0.55, 20.69)","3.33 (1.13,  9.85)","3.57 (0.71, 17.85)","Obeticholic acid",".",".","1.60 (0.92,  2.78)",".",".",".",".",".",".","."
"Pegbelfermin","2.23 (0.48, 10.47)","0.26 (0.02,  2.96)","0.57 (0.12,  2.66)","0.16 (0.03,  0.79)","1.41 (0.17, 11.82)","1.39 (0.30,  6.57)","1.49 (0.21, 10.55)","0.42 (0.11,  1.63)","Pegbelfermin",".","3.82 (1.10, 13.19)",".",".",".",".",".",".","."
"Pioglitazone","2.24 (0.77,  6.54)","0.26 (0.03,  2.27)","0.57 (0.20,  1.66)","0.16 (0.05,  0.50)","1.41 (0.23,  8.66)","1.40 (0.48,  4.12)","1.50 (0.30,  7.47)","0.42 (0.19,  0.91)","1.00 (0.26,  3.89)","Pioglitazone","3.90 (2.22,  6.86)",".",".",".",".",".","1.88 (0.74,  4.76)","."
"Placebo","8.52 (3.38, 21.45)","0.97 (0.12,  8.05)","2.17 (0.86,  5.44)","0.62 (0.24,  1.65)","5.37 (0.95, 30.30)","5.32 (2.10, 13.51)","5.70 (1.26, 25.84)","1.60 (0.92,  2.78)","3.82 (1.10, 13.19)","3.80 (2.20,  6.56)","Placebo","0.34 (0.08,  1.49)","0.28 (0.15,  0.51)","0.22 (0.06,  0.84)","0.31 (0.18,  0.51)","0.17 (0.06,  0.50)","0.46 (0.26,  0.83)","0.14 (0.04,  0.53)"
"PXL065","2.87 (0.50, 16.49)","0.33 (0.02,  4.34)","0.73 (0.13,  4.19)","0.21 (0.04,  1.24)","1.81 (0.19, 17.68)","1.79 (0.31, 10.34)","1.92 (0.23, 15.98)","0.54 (0.11,  2.62)","1.29 (0.19,  8.90)","1.28 (0.26,  6.23)","0.34 (0.08,  1.49)","PXL065",".",".",".",".",".","."
"Resmetirom","2.35 (0.78,  7.12)","0.27 (0.03,  2.43)","0.60 (0.20,  1.81)","0.17 (0.05,  0.54)","1.48 (0.24,  9.29)","1.47 (0.48,  4.48)","1.57 (0.31,  8.04)","0.44 (0.19,  1.01)","1.05 (0.26,  4.20)","1.05 (0.46,  2.38)","0.28 (0.15,  0.51)","0.82 (0.16,  4.08)","Resmetirom",".",".",".",".","."
