"","DNL","DNL + FXR agonist + Incretins","DNL + Incretins","FGF19 analog","FGF21 analog","FXR agonist","FXR agonist + Incretins","FXR agonist + THR-beta agonist","Incretins","Placebo","PPAR agonist","SGLT2 inhibitor","THR-beta agonist","TZDs"
"DNL","DNL",".",".",".",".",".",".",".",".","14.53 (4.47,   47.28)",".",".",".","."
"DNL + FXR agonist + Incretins","1.22 (0.06,  24.56)","DNL + FXR agonist + Incretins","0.38 (0.02,    5.85)",".",".",".","0.43 (0.03,    6.67)",".","0.93 (0.07,   11.95)",".",".",".",".","."
"DNL + Incretins","0.46 (0.02,  10.85)","0.38 (0.02,   5.85)","DNL + Incretins",".",".",".","1.13 (0.06,   20.43)",".","2.43 (0.16,   37.01)",".",".",".",".","."
"FGF19 analog","0.96 (0.16,   5.95)","0.79 (0.04,  17.44)","2.07 (0.08,  52.52)","FGF19 analog",".",".",".",".",".","15.12 (3.77,   60.70)",".",".",".","."
"FGF21 analog","1.51 (0.33,   7.04)","1.25 (0.07,  23.44)","3.26 (0.15,  71.08)","1.58 (0.29,   8.66)","FGF21 analog",".",".",".",".","9.59 (3.58,   25.67)",".",".",".","."
"FXR agonist","3.18 (0.70,  14.34)","2.61 (0.14,  48.42)","6.84 (0.32, 146.97)","3.31 (0.62,  17.68)","2.10 (0.54,   8.17)","FXR agonist",".","0.12 (0.01,    1.30)",".","5.12 (1.96,   13.32)",".",".","0.19 (0.02,    2.05)","."
"FXR agonist + Incretins","0.53 (0.02,  12.36)","0.43 (0.03,   6.67)","1.13 (0.06,  20.43)","0.55 (0.02,  13.99)","0.35 (0.02,   7.62)","0.17 (0.01,   3.58)","FXR agonist + Incretins",".","2.14 (0.14,   32.84)",".",".",".",".","."
"FXR agonist + THR-beta agonist","0.45 (0.04,   5.31)","0.37 (0.01,  12.42)","0.97 (0.03,  36.81)","0.47 (0.04,   6.15)","0.30 (0.03,   3.21)","0.14 (0.02,   1.22)","0.86 (0.02,  32.61)","FXR agonist + THR-beta agonist",".","65.17 (3.29, 1290.02)",".",".","1.62 (0.15,   17.47)","."
"Incretins","1.13 (0.23,   5.50)","0.93 (0.07,  11.95)","2.43 (0.16,  37.01)","1.17 (0.21,   6.73)","0.75 (0.18,   3.16)","0.36 (0.09,   1.46)","2.14 (0.14,  32.84)","2.50 (0.23,  27.85)","Incretins","12.87 (4.48,   36.97)",".",".",".","."
"Placebo","14.53 (4.47,  47.28)","11.95 (0.75, 189.67)","31.25 (1.68, 580.19)","15.12 (3.77,  60.70)","9.59 (3.58,  25.67)","4.57 (1.79,  11.66)","27.58 (1.48, 514.58)","32.22 (3.70, 280.94)","12.87 (4.48,  36.97)","Placebo","0.41 (0.07,    2.33)","0.74 (0.09,    6.48)","0.10 (0.02,    0.56)","0.31 (0.03,    3.31)"
"PPAR agonist","5.91 (0.72,  48.54)","4.86 (0.19, 127.76)","12.72 (0.42, 381.87)","6.15 (0.66,  57.21)","3.90 (0.53,  28.91)","1.86 (0.26,  13.46)","11.22 (0.37, 338.44)","13.11 (0.81, 211.40)","5.24 (0.68,  40.20)","0.41 (0.07,   2.33)","PPAR agonist",".",".","."
"SGLT2 inhibitor","10.81 (0.92, 127.11)","8.89 (0.27, 297.57)","23.26 (0.61, 881.58)","11.25 (0.86, 147.22)","7.14 (0.66,  76.89)","3.40 (0.32,  35.93)","20.52 (0.54, 781.09)","23.98 (1.12, 511.91)","9.58 (0.86, 106.32)","0.74 (0.09,   6.48)","1.83 (0.11,  29.43)","SGLT2 inhibitor",".","."
"THR-beta agonist","1.21 (0.17,   8.67)","0.99 (0.04,  23.98)","2.60 (0.09,  71.93)","1.26 (0.15,  10.30)","0.80 (0.12,   5.12)","0.38 (0.07,   2.01)","2.30 (0.08,  63.75)","2.68 (0.29,  24.46)","1.07 (0.16,   7.14)","0.08 (0.02,   0.40)","0.20 (0.02,   2.15)","0.11 (0.01,   1.63)","THR-beta agonist","."
"TZDs","4.54 (0.32,  63.60)","3.73 (0.10, 141.62)","9.77 (0.23, 417.84)","4.73 (0.31,  73.16)","3.00 (0.23,  38.70)","1.43 (0.11,  18.11)","8.62 (0.20, 370.17)","10.07 (0.41, 247.97)","4.02 (0.30,  53.41)","0.31 (0.03,   3.31)","0.77 (0.04,  14.45)","0.42 (0.02,  10.33)","3.75 (0.22,  64.23)","TZDs"
