"","DNL","FGF19 analog","FGF21 analog","FXR agonist","FXR agonist + THR-beta agonist","Incretins","Placebo","PPAR agonist","SGLT2 inhibitor","THR-beta agonist","TZDs","Vitamin E"
"DNL","DNL",".",".",".",".",".","-0.74 (-1.23, -0.25)",".",".",".",".","."
"FGF19 analog","0.23 (-0.53,  0.98)","FGF19 analog",".",".",".",".","-0.97 (-1.55, -0.39)",".",".",".",".","."
"FGF21 analog","1.25 ( 0.53,  1.96)","1.02 ( 0.24,  1.79)","FGF21 analog",".",".",".","-1.99 (-2.51, -1.47)",".",".",".",".","."
"FXR agonist","-0.07 (-0.76,  0.62)","-0.30 (-1.06,  0.46)","-1.32 (-2.03, -0.61)","FXR agonist","0.59 (-0.44,  1.62)",".","-0.69 (-1.19, -0.19)",".",".","0.34 (-0.68,  1.35)",".","."
"FXR agonist + THR-beta agonist","0.42 (-0.57,  1.41)","0.19 (-0.84,  1.23)","-0.82 (-1.83,  0.18)","0.49 (-0.40,  1.39)","FXR agonist + THR-beta agonist",".","-1.15 (-2.20, -0.11)",".",".","-0.26 (-1.23,  0.72)",".","."
"Incretins","1.57 ( 0.82,  2.33)","1.35 ( 0.53,  2.16)","0.33 (-0.45,  1.10)","1.65 ( 0.89,  2.40)","1.15 ( 0.12,  2.19)","Incretins","-2.31 (-2.89, -1.74)",".",".",".",".","."
"Placebo","-0.74 (-1.23, -0.25)","-0.97 (-1.55, -0.39)","-1.99 (-2.51, -1.47)","-0.67 (-1.16, -0.18)","-1.16 (-2.02, -0.30)","-2.31 (-2.89, -1.74)","Placebo","-0.15 (-1.14,  0.83)","0.49 (-0.24,  1.22)","0.81 ( 0.34,  1.29)","0.52 (-0.18,  1.22)","0.07 (-0.93,  1.08)"
"PPAR agonist","-0.89 (-1.99,  0.21)","-1.12 (-2.26,  0.02)","-2.14 (-3.25, -1.02)","-0.82 (-1.92,  0.28)","-1.31 (-2.62, -0.01)","-2.47 (-3.61, -1.32)","-0.15 (-1.14,  0.83)","PPAR agonist",".",".",".","."
"SGLT2 inhibitor","-0.36 (-1.17,  0.44)","-0.59 (-1.45,  0.27)","-1.61 (-2.43, -0.79)","-0.29 (-1.09,  0.51)","-0.79 (-1.86,  0.28)","-1.94 (-2.80, -1.08)","0.38 (-0.26,  1.02)","0.53 (-0.65,  1.70)","SGLT2 inhibitor",".","0.50 (-0.60,  1.61)","."
"THR-beta agonist","0.09 (-0.58,  0.77)","-0.13 (-0.87,  0.60)","-1.15 (-1.85, -0.46)","0.17 (-0.45,  0.78)","-0.33 (-1.20,  0.55)","-1.48 (-2.22, -0.74)","0.83 ( 0.37,  1.30)","0.99 (-0.10,  2.07)","0.46 (-0.33,  1.25)","THR-beta agonist",".","."
"TZDs","-0.12 (-0.91,  0.67)","-0.35 (-1.19,  0.50)","-1.36 (-2.17, -0.55)","-0.05 (-0.83,  0.74)","-0.54 (-1.60,  0.52)","-1.69 (-2.54, -0.84)","0.62 ( 0.00,  1.24)","0.77 (-0.39,  1.94)","0.25 (-0.50,  0.99)","-0.21 (-0.98,  0.56)","TZDs","."
"Vitamin E","-0.67 (-1.78,  0.45)","-0.90 (-2.05,  0.26)","-1.91 (-3.04, -0.78)","-0.60 (-1.71,  0.52)","-1.09 (-2.41,  0.23)","-2.24 (-3.40, -1.08)","0.07 (-0.93,  1.08)","0.22 (-1.18,  1.63)","-0.30 (-1.49,  0.89)","-0.76 (-1.87,  0.35)","-0.55 (-1.73,  0.63)","Vitamin E"
