"","DNL","FGF19 analog","FGF21 analog","FXR agonist","Incretins","Placebo","PPAR agonist","SGLT2 inhibitor","THR-beta agonist","TZDs","TZDs + Vitamin E","Vitamin E"
"DNL","DNL",".",".","-0.28 (-0.77,  0.21)",".","-0.45 (-0.77, -0.12)",".",".",".",".",".","."
"FGF19 analog","0.38 ( 0.00,  0.76)","FGF19 analog",".",".",".","-0.83 (-1.06, -0.60)",".",".",".",".",".","."
"FGF21 analog","0.30 (-0.11,  0.70)","-0.08 (-0.43,  0.27)","FGF21 analog",".",".","-0.75 (-1.02, -0.49)",".",".",".",".",".","."
"FXR agonist","-0.14 (-0.47,  0.18)","-0.52 (-0.80, -0.25)","-0.44 (-0.74, -0.14)","FXR agonist",".","-0.32 (-0.47, -0.17)",".",".",".",".",".","."
"Incretins","0.12 (-0.33,  0.57)","-0.26 (-0.66,  0.15)","-0.18 (-0.60,  0.25)","0.27 (-0.09,  0.63)","Incretins","-0.58 (-0.91, -0.25)",".",".",".",".",".","."
"Placebo","-0.45 (-0.76, -0.15)","-0.83 (-1.06, -0.60)","-0.75 (-1.02, -0.49)","-0.31 (-0.45, -0.16)","-0.58 (-0.91, -0.25)","Placebo","0.72 ( 0.36,  1.08)","0.26 (-0.04,  0.55)","0.42 ( 0.24,  0.60)","0.56 ( 0.34,  0.79)","0.40 (-0.19,  0.98)","0.24 (-0.02,  0.49)"
"PPAR agonist","0.27 (-0.20,  0.74)","-0.11 (-0.54,  0.32)","-0.03 (-0.48,  0.42)","0.41 ( 0.02,  0.80)","0.15 (-0.34,  0.63)","0.72 ( 0.36,  1.08)","PPAR agonist",".",".",".",".","."
"SGLT2 inhibitor","-0.05 (-0.44,  0.35)","-0.43 (-0.77, -0.09)","-0.35 (-0.71,  0.01)","0.10 (-0.19,  0.38)","-0.17 (-0.58,  0.24)","0.41 ( 0.16,  0.65)","-0.32 (-0.75,  0.12)","SGLT2 inhibitor",".","-0.19 (-0.58,  0.20)",".","."
"THR-beta agonist","-0.03 (-0.39,  0.33)","-0.41 (-0.70, -0.12)","-0.33 (-0.65, -0.01)","0.11 (-0.12,  0.34)","-0.15 (-0.53,  0.22)","0.42 ( 0.24,  0.60)","-0.30 (-0.70,  0.10)","0.02 (-0.29,  0.32)","THR-beta agonist",".",".","."
"TZDs","0.02 (-0.35,  0.39)","-0.36 (-0.67, -0.05)","-0.28 (-0.61,  0.06)","0.17 (-0.08,  0.42)","-0.10 (-0.49,  0.29)","0.48 ( 0.27,  0.68)","-0.25 (-0.66,  0.17)","0.07 (-0.20,  0.34)","0.05 (-0.22,  0.32)","TZDs",".","."
"TZDs + Vitamin E","-0.26 (-0.85,  0.33)","-0.64 (-1.20, -0.08)","-0.56 (-1.13,  0.01)","-0.11 (-0.64,  0.41)","-0.38 (-0.99,  0.22)","0.19 (-0.31,  0.70)","-0.53 (-1.15,  0.09)","-0.21 (-0.78,  0.35)","-0.23 (-0.77,  0.31)","-0.28 (-0.83,  0.27)","TZDs + Vitamin E","0.20 (-0.35,  0.74)"
"Vitamin E","-0.21 (-0.61,  0.18)","-0.59 (-0.94, -0.25)","-0.51 (-0.88, -0.15)","-0.07 (-0.36,  0.22)","-0.34 (-0.76,  0.08)","0.24 (-0.02,  0.49)","-0.48 (-0.92, -0.04)","-0.17 (-0.52,  0.19)","-0.18 (-0.50,  0.13)","-0.24 (-0.56,  0.09)","0.04 (-0.45,  0.54)","Vitamin E"
