"","DNL","FGF19 analog","FGF21 analog","FXR agonist","Incretins","Placebo","PPAR agonist","SGLT2 inhibitor","THR-beta agonist","TZDs","TZDs + Vitamin E","Vitamin E"
"DNL","DNL",".",".","1.19 (0.37, 3.83)",".","2.03 (0.58, 7.10)",".",".",".",".",".","."
"FGF19 analog","0.57 (0.16, 2.03)","FGF19 analog",".",".",".","3.46 (1.67, 7.20)",".",".",".",".",".","."
"FGF21 analog","1.04 (0.28, 3.80)","1.83 (0.63, 5.28)","FGF21 analog",".",".","1.89 (0.88, 4.07)",".",".",".",".",".","."
"FXR agonist","1.22 (0.43, 3.43)","2.14 (0.96, 4.76)","1.17 (0.51, 2.69)","FXR agonist",".","1.62 (1.17, 2.23)",".",".",".",".",".","."
"Incretins","0.75 (0.25, 2.20)","1.31 (0.60, 2.87)","0.72 (0.32, 1.62)","0.61 (0.40, 0.94)","Incretins","2.64 (2.00, 3.47)",".",".",".",".",".","."
"Placebo","1.97 (0.69, 5.59)","3.46 (1.67, 7.20)","1.89 (0.88, 4.07)","1.62 (1.17, 2.23)","2.64 (2.00, 3.47)","Placebo","0.60 (0.39, 0.92)","0.34 (0.17, 0.71)","0.30 (0.21, 0.42)","0.44 (0.30, 0.65)","0.32 (0.12, 0.88)","0.64 (0.39, 1.05)"
"PPAR agonist","1.18 (0.38, 3.65)","2.08 (0.89, 4.85)","1.14 (0.47, 2.73)","0.97 (0.57, 1.66)","1.58 (0.95, 2.63)","0.60 (0.39, 0.92)","PPAR agonist",".",".",".",".","."
"SGLT2 inhibitor","0.68 (0.19, 2.42)","1.19 (0.42, 3.35)","0.65 (0.23, 1.88)","0.56 (0.25, 1.23)","0.91 (0.42, 1.98)","0.34 (0.17, 0.71)","0.57 (0.25, 1.33)","SGLT2 inhibitor",".",".",".","."
"THR-beta agonist","0.59 (0.20, 1.78)","1.04 (0.46, 2.34)","0.57 (0.25, 1.32)","0.49 (0.30, 0.78)","0.79 (0.51, 1.23)","0.30 (0.21, 0.42)","0.50 (0.29, 0.87)","0.87 (0.39, 1.96)","THR-beta agonist",".",".","."
"TZDs","0.95 (0.31, 2.87)","1.66 (0.73, 3.80)","0.91 (0.39, 2.14)","0.78 (0.47, 1.28)","1.27 (0.79, 2.03)","0.48 (0.33, 0.70)","0.80 (0.45, 1.42)","1.40 (0.61, 3.18)","1.60 (0.96, 2.67)","TZDs",".","0.79 (0.40, 1.58)"
"TZDs + Vitamin E","0.67 (0.17, 2.62)","1.17 (0.37, 3.69)","0.64 (0.20, 2.06)","0.55 (0.21, 1.40)","0.89 (0.35, 2.25)","0.34 (0.14, 0.82)","0.56 (0.21, 1.51)","0.98 (0.31, 3.10)","1.13 (0.44, 2.91)","0.70 (0.28, 1.80)","TZDs + Vitamin E","1.64 (0.63, 4.29)"
"Vitamin E","1.15 (0.37, 3.59)","2.02 (0.85, 4.79)","1.10 (0.45, 2.70)","0.94 (0.54, 1.65)","1.54 (0.90, 2.63)","0.58 (0.37, 0.92)","0.97 (0.52, 1.82)","1.69 (0.72, 4.02)","1.94 (1.09, 3.45)","1.21 (0.72, 2.04)","1.72 (0.72, 4.13)","Vitamin E"
